system,policy,stage,total,actives,decoys,background
glp1r,percentage,input,30310,10,300,30000
glp1r,percentage,stage0_pass,30126,10,300,29816
glp1r,percentage,stage012_pass,29274,9,235,29030
glp1r,percentage,shortlist,1464,8,19,1437
glp1r,percentage,stage3_success,1462,8,19,1435
glp1r,percentage,native_selected,647,8,11,628
glp1r,percentage,native_success,647,8,11,628
glp1r,percentage,final_ranked,647,8,11,628
glp1r,floor1000,input,30310,10,300,30000
glp1r,floor1000,stage0_pass,30126,10,300,29816
glp1r,floor1000,stage012_pass,29274,9,235,29030
glp1r,floor1000,shortlist,1464,8,19,1437
glp1r,floor1000,stage3_success,1462,8,19,1435
glp1r,floor1000,native_selected,647,8,11,628
glp1r,floor1000,native_success,647,8,11,628
glp1r,floor1000,final_ranked,647,8,11,628
ghsr,percentage,input,31550,50,1500,30000
ghsr,percentage,stage0_pass,31366,50,1500,29816
ghsr,percentage,stage012_pass,277,39,208,30
ghsr,percentage,shortlist,14,9,5,0
ghsr,percentage,stage3_success,14,9,5,0
ghsr,percentage,native_selected,14,9,5,0
ghsr,percentage,native_success,14,9,5,0
ghsr,percentage,final_ranked,14,9,5,0
ghsr,floor1000,input,31550,50,1500,30000
ghsr,floor1000,stage0_pass,31366,50,1500,29816
ghsr,floor1000,stage012_pass,277,39,208,30
ghsr,floor1000,shortlist,277,39,208,30
ghsr,floor1000,stage3_success,277,39,208,30
ghsr,floor1000,native_selected,271,39,202,30
ghsr,floor1000,native_success,271,39,202,30
ghsr,floor1000,final_ranked,271,39,202,30
ntsr1,percentage,input,31550,50,1500,30000
ntsr1,percentage,stage0_pass,31364,48,1500,29816
ntsr1,percentage,stage012_pass,398,35,279,84
ntsr1,percentage,shortlist,20,18,2,0
ntsr1,percentage,stage3_success,20,18,2,0
ntsr1,percentage,native_selected,20,18,2,0
ntsr1,percentage,native_success,20,18,2,0
ntsr1,percentage,final_ranked,20,18,2,0
ntsr1,floor1000,input,31550,50,1500,30000
ntsr1,floor1000,stage0_pass,31364,48,1500,29816
ntsr1,floor1000,stage012_pass,398,35,279,84
ntsr1,floor1000,shortlist,398,35,279,84
ntsr1,floor1000,stage3_success,397,35,279,83
ntsr1,floor1000,native_selected,343,35,252,56
ntsr1,floor1000,native_success,343,35,252,56
ntsr1,floor1000,final_ranked,343,35,252,56
mdm2,percentage,input,31550,50,1500,30000
mdm2,percentage,stage0_pass,31366,50,1500,29816
mdm2,percentage,stage012_pass,31314,50,1500,29764
mdm2,percentage,shortlist,1566,43,1498,25
mdm2,percentage,stage3_success,1566,43,1498,25
mdm2,percentage,native_selected,1152,43,1099,10
mdm2,percentage,native_success,1152,43,1099,10
mdm2,percentage,final_ranked,1000,43,951,6
mdm2,floor1000,input,31550,50,1500,30000
mdm2,floor1000,stage0_pass,31366,50,1500,29816
mdm2,floor1000,stage012_pass,31314,50,1500,29764
mdm2,floor1000,shortlist,1566,43,1498,25
mdm2,floor1000,stage3_success,1566,43,1498,25
mdm2,floor1000,native_selected,1152,43,1099,10
mdm2,floor1000,native_success,1152,43,1099,10
mdm2,floor1000,final_ranked,1000,43,951,6
