stage3_screen_rank,zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count,pool_source_stage3_rank,pool_source_hotspot_breadth,pool_source_native_support,pool_primary_source,murcko_scaffold,native_candidate_pool_rank,native_selection_rank,source_input_rank
41,CHEMBL3218890,COc1cccc(-n2cc3nc(-c4cccnc4C)n(C[C@H]4CCCN(C(C)C)C4)c(=O)c3n2)c1,17.857142857142858,18.953448192927706,0.731024879889779,13.855442188732123,5,472.5930000000004,4.081620000000003,0,8,6,1,,,,33.90594778386845,10,7,3,7,3,1,,,,,17.593973986018973,12.949113068549076,27.434903748733547,21.671967435481346,31,16,15,1.6017857770300337,0.8575574233614697,8.254082929072135,9.92899018064315,28,1,1,1,stage3_rank,O=c1c2nn(-c3ccccc3)cc2nc(-c2cccnc2)n1CC1CCCNC1,1,1,1
50,CHEMBL4637284,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)c4cnccn4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,17.857142857142858,17.591736721631662,0.7765308177922241,13.660525702834134,5,499.59700000000026,0.3632200000000005,3,7,8,1,,,,33.23974676957568,11,5,6,5,3,1,,,,,24.122824916488224,19.802462072982312,30.85442861601568,26.402055379760085,9,16,9,1.1533756337397394,1.033342436811529,12.64932840114446,11.470559419222472,28,1,1,1,stage3_rank,O=C(NC1CCN(S(=O)(=O)c2cnccn2)C1)c1cc2ccccc2[nH]1,2,2,2
95,ZINCk6000004dm5O,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1NC[C@@H](O)C(N)=O,14.285714285714286,15.362996609921524,0.8407417680717927,12.91631293270638,4,284.228,0.0695199999999998,3,7,6,1,,,,41.894685904351626,11,8,3,8,2,1,,,,,21.394667413395226,14.130914562329538,44.02491597252667,26.519672036134324,8,16,2,0.8222661614892786,0.9305413388378528,6.980676614770233,6.186660379054449,28,1,1,1,stage3_rank,c1ccccc1,3,3,3
115,ZINCk50000047sNG,O=C(NCCCc1nc(O)n[nH]1)c1n[nH]cc1[N+](=O)[O-],17.857142857142858,18.287822287125632,0.6827698933985575,12.486374473472532,5,281.2320000000001,-0.4958000000000007,4,7,6,1,,,,41.19084267040562,12,7,5,7,2,1,,,,,24.713792150010725,17.070783349818182,44.74903269319512,28.833054780109453,2,16,13,1.60044266598874,1.4012749620544738,9.390882812600733,8.787498055249598,28,1,1,1,stage3_rank,O=C(NCCCc1ncn[nH]1)c1cc[nH]n1,4,4,4
139,CHEMBL4171914,Cn1ccc2c(F)c(C(=O)N[C@H]3Cc4ccccc4[C@@H]3NC(=O)c3cnccc3N)ccc21,17.857142857142858,19.00310044760335,0.6426796505908494,12.212905955808536,5,443.4820000000002,3.120400000000001,3,5,4,1,,,,34.89823407860856,11,5,6,5,2,1,,,,,25.6007099376565,18.97155880303825,39.35094246031745,27.92509097289452,4,16,5,2.153083931522874,1.291525777415888,12.64932840114446,12.468256763973422,28,1,1,1,stage3_rank,O=C(NC1Cc2ccccc2C1NC(=O)c1cccnc1)c1ccc2[nH]ccc2c1,5,5,5
16,CHEMBL270666,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1[C@H](CC#N)COc1ccccc1O,17.857142857142858,19.00310044760335,0.7839249915456966,14.897005357729482,5,479.5410000000002,2.02388,3,10,12,1,,,,34.1174432062358,11,5,6,5,2,1,,,,,26.996639165560616,21.6643648097019,35.81078865387769,28.77684017572941,3,16,9,1.393287304757466,0.8789277458743708,12.64932840114446,11.84599351101555,28,1,1,1,stage3_rank,c1ccc(COCCc2nnnn2CCOc2ccccc2)cc1,6,6,6
1,CHEMBL4164040,Nc1ccncc1C(=O)N[C@H]1c2ccccc2C[C@@H]1NC(=O)c1cc2c(F)cc(F)cc2[nH]1,21.428571428571427,21.93916582688174,0.8080598390772927,17.7281588075601,6,447.4450000000001,3.249100000000001,4,4,4,1,,,,33.69533478231311,11,4,7,4,2,1,,,,,24.45171962062359,18.23570874839218,37.0969754808398,26.76262341104597,6,16,9,1.4534180995120716,0.7325434958693197,12.64932840114446,12.800603640182388,28,1,1,1,stage3_rank,O=C(NC1c2ccccc2CC1NC(=O)c1cc2ccccc2[nH]1)c1cccnc1,7,7,7
18,CHEMBL410135,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCNC(=O)CCc1cccc(O)c1,17.857142857142858,18.953448192927706,0.7796937910820874,14.777885875621738,5,495.5840000000003,1.2390999999999996,4,9,13,1,,,,33.18093759173754,11,4,7,4,2,1,,,,,29.40355947482676,23.41633162881136,39.50424005218526,30.347904004054456,1,16,4,1.458211558241023,0.9161710903025448,8.254082929072135,8.481083617064789,28,1,1,1,stage3_rank,O=C(CCc1ccccc1)NCCn1nnnc1CCOCc1ccccc1,8,8,8
164,ZINCk50000045w8F,Cn1cc([N+](=O)[O-])c(Cn2cc(COC(=N)O)nn2)n1,14.285714285714286,15.362996609921524,0.7698807006401407,11.82767459397849,4,281.232,-0.0225300000000003,2,9,5,1,,,,32.73436206030686,9,6,3,6,2,1,,,,,15.561550208676575,10.152836229247184,33.30307745504841,19.854753171584143,54,16,1,1.3834484017564963,0.8463707200040939,6.980676614770233,8.390813695393113,28,1,1,1,stage3_rank,c1cn(Cc2cc[nH]n2)nn1,9,9,9
86,ZINCk700000wTyDp,Cc1cnc(C(=O)N[C@@H](C)Cc2cnccn2)c[n+]1[O-],14.285714285714286,15.362996609921524,0.849776572151376,13.055114597152324,4,273.296,0.17442,1,5,4,1,,,,32.73436206030686,9,6,3,6,2,1,,,,,15.121735608896524,9.517586404798868,36.776474967429735,19.524892221749106,62,16,13,1.069695464033851,0.7666554621188503,6.980676614770233,7.254508515430742,28,1,1,1,stage3_rank,O=C(NCCc1cnccn1)c1c[nH+]ccn1,10,10,10
