metric,estimate,ci_low,ci_high
pearson_r,0.5049967063223982,0.3997983914061743,0.5965096342303606
spearman_rho,0.46555367405156683,0.3566681273235179,0.5646738371297451
kendall_tau,0.3501515689701071,0.2660522353422827,0.42999372098035155
linear_slope_native_pct_per_screen_pct,2.726397037700586,,
linear_intercept,32.49750872486819,,
linear_r_squared,0.25502167339647086,,
linear_p_value,6.055201271922908e-19,,
linear_std_err,0.28411635522550194,,
linear_residual_rmse,7.996611841966287,,
linear_residual_mae,6.10401457836441,,
