ligand_id,weighted_coverage_pct,native_weighted_coverage_pct,screen_rank,native_rank,rank_shift,abs_rank_shift
CHEMBL1161835,13.807175799851796,92.57496349030072,43,1,42,42
CHEMBL130229,14.536404870714236,92.57496349030072,22,2,20,20
CHEMBL4637284,13.660525702834134,82.41290018208466,50,3,47,47
CHEMBL4645148,15.32565427444668,82.41290018208466,11,4,7,7
CHEMBL4164040,17.7281588075601,81.78114323729052,1,5,-4,4
CHEMBL481620,14.152345979212969,81.78114323729052,34,6,28,28
CHEMBL4171914,12.212905955808536,79.84285059250405,139,7,132,132
CHEMBL1161827,14.266792263379424,79.33089316904189,29,8,21,21
CHEMBL1162058,15.986659509098953,79.33089316904189,6,9,-3,3
CHEMBL1923504,11.886949602460582,79.33089316904189,158,10,148,148
CHEMBL2364338,11.7203043260479,79.33089316904189,173,11,162,162
CHEMBL251572,12.322308661604794,79.33089316904189,126,12,114,114
CHEMBL259166,17.26995556586387,79.33089316904189,2,13,-11,11
CHEMBL270666,14.897005357729482,79.33089316904189,16,14,2,2
CHEMBL271876,16.85592017402819,79.33089316904189,4,15,-11,11
CHEMBL3218890,13.855442188732123,79.33089316904189,41,16,25,25
CHEMBL379074,14.174245752174036,79.33089316904189,33,17,16,16
CHEMBL382844,15.118571949592004,79.33089316904189,13,18,-5,5
CHEMBL401134,11.865309682585538,79.33089316904189,162,19,143,143
CHEMBL403180,14.771127732214737,79.33089316904189,19,20,-1,1
CHEMBL404336,14.809851999502106,79.33089316904189,17,21,-4,4
CHEMBL410135,14.777885875621738,79.33089316904189,18,22,-4,4
CHEMBL4637980,14.090826385458207,79.33089316904189,37,23,14,14
CHEMBL1079185,11.878065464182088,77.43811374063404,159,24,135,135
CHEMBL2364354,13.511786176915564,77.43811374063404,58,25,33,33
CHEMBL2364480,13.166177974584643,77.43811374063404,79,26,53,53
CHEMBL2364485,12.96642606357621,77.43811374063404,90,27,63,63
CHEMBL260819,16.553528890716834,77.43811374063404,5,28,-23,23
CHEMBL272540,13.402783789920662,77.43811374063404,65,29,36,36
CHEMBL4164328,17.14495338292296,77.43811374063404,3,30,-27,27
CHEMBL4170481,11.284198345360716,77.43811374063404,201,31,170,170
ZINCf5000000a5ui,9.787659377014032,77.43811374063404,256,32,224,224
ZINCj7000002nkJO,10.351392908642689,77.43811374063404,244,33,211,211
ZINCj8000002qJfL,10.741848018797896,77.43811374063404,226,34,192,192
ZINCj8000002rSdf,12.174872714765463,77.43811374063404,141,35,106,106
ZINCj8000002rSte,11.916013954940738,77.43811374063404,157,36,121,121
ZINCj800000JT0bw,11.584411266148994,77.43811374063404,182,37,145,145
ZINCj800000xceQv,12.953104519589695,77.43811374063404,91,38,53,53
ZINCk50000040Was,13.542495347274071,77.43811374063404,57,39,18,18
ZINCk50000047sNG,12.486374473472532,77.43811374063404,115,40,75,75
ZINCk6000004cY3o,11.427723833512175,77.43811374063404,195,41,154,154
ZINCk600000JU4gH,14.048834583070812,77.43811374063404,38,42,-4,4
ZINCk600000Pz833,11.33487942713173,77.43811374063404,199,43,156,156
ZINCk600000gpUvV,13.7523540371828,77.43811374063404,47,44,3,3
ZINCk600000gqEx4,11.47370523183594,77.43811374063404,191,45,146,146
ZINCk600001bNqgQ,11.753128272790882,77.43811374063404,170,46,124,124
ZINCk7000004eT0Z,11.869228535477411,77.43811374063404,161,47,114,114
ZINCk700000Bn8u5,15.353429469228772,77.43811374063404,10,48,-38,38
ZINCk700000Em93S,12.61696781618963,77.43811374063404,107,49,58,58
ZINCk700000FCpX8,10.9199165543921,77.43811374063404,221,50,171,171
ZINCk700000JUf7G,14.488073195957066,77.43811374063404,23,51,-28,28
ZINCk700000drsQ4,10.08831148892622,77.43811374063404,252,52,200,200
ZINCk700000vOWnu,13.640666902198364,77.43811374063404,53,53,0,0
ZINCk700000wTyDp,13.055114597152324,77.43811374063404,86,54,32,32
ZINCk700000y8NCO,14.120267456398013,77.43811374063404,36,55,-19,19
ZINCk7000018TAx0,13.038431937024116,77.43811374063404,88,56,32,32
ZINCk8000004hZ4R,14.179429414212011,77.43811374063404,31,57,-26,26
ZINCk8000009LywA,13.21217957616359,77.43811374063404,77,58,19,19
ZINCk800000BmzIB,14.323484856145718,77.43811374063404,27,59,-32,32
ZINCk800000GfIqo,11.751823021500067,77.43811374063404,171,60,111,111
ZINCk800000JSZKR,13.67617679770837,77.43811374063404,48,61,-13,13
ZINCk800000PA5TH,12.1083664908862,77.43811374063404,146,62,84,84
ZINCk800000PtDR3,13.471816645283496,77.43811374063404,62,63,-1,1
ZINCk800000Py67v,14.582906377856402,77.43811374063404,21,64,-43,43
ZINCk800000Pyl8e,11.560859361887276,77.43811374063404,184,65,119,119
ZINCk800000Pyl8f,12.630321386795355,77.43811374063404,106,66,40,40
ZINCk800000ds8Aw,14.312582270007988,77.43811374063404,28,67,-39,39
ZINCk800000y7OLt,12.48960260159951,77.43811374063404,114,68,46,46
ZINCk8000018TA71,14.987753318412484,77.43811374063404,14,69,-55,55
ZINCk8000018Tng8,12.102165841405006,77.43811374063404,147,70,77,77
CHEMBL2364381,13.598069002958702,70.0168090390329,56,71,-15,15
CHEMBL2364382,13.821059507685408,70.0168090390329,42,72,-30,30
CHEMBL2364408,13.756950882319323,70.0168090390329,46,73,-27,27
CHEMBL251169,12.23234938214967,70.0168090390329,137,74,63,63
CHEMBL251573,13.334121914761615,70.0168090390329,74,75,-1,1
ZINCk500000dq4PX,12.37651705853601,68.12402961062504,122,76,46,46
ZINCk700000JTKDZ,13.369257050652353,68.12402961062504,67,77,-10,10
ZINCk7000018StsX,12.164197439391348,68.12402961062504,142,78,64,64
ZINCk800000gu5Mi,15.385655755586384,68.12402961062504,9,79,-70,70
CHEMBL2364429,14.977017109181192,66.08682284778305,15,80,-65,65
CHEMBL2364468,12.634113656939553,66.08682284778305,105,81,24,24
ZINCk800000xcqB6,13.601365079506008,65.55398002104442,55,82,-27,27
ZINCj600000PLgxg,13.046142783075128,65.04202259758227,87,83,4,4
ZINCk600000Emteg,12.240936665657474,65.04202259758227,134,84,50,50
ZINCk600000Pu9Ja,11.758857244924211,65.04202259758227,168,85,83,83
ZINCk600000gpzZR,14.25467635469182,65.04202259758227,30,86,-56,56
ZINCk7000009KZrH,11.989885354803471,65.04202259758227,151,87,64,64
ZINCk700000PzC17,11.280174273955316,65.04202259758227,202,88,114,114
ZINCk8000009M5XH,12.306933757698106,65.04202259758227,130,89,41,41
ZINCk8000009MfQv,12.93959246158325,65.04202259758227,92,90,2,2
ZINCk8000009Mg4L,11.595711082344302,65.04202259758227,181,91,90,90
ZINCk800000PzIYD,13.350696823700105,65.04202259758227,72,92,-20,20
ZINCk800000PzWQF,11.278315932577115,65.04202259758227,203,93,110,110
ZINCf50000008Jbu,11.109686521207507,64.70600084283734,215,94,121,121
ZINCf50000026AWG,10.932728404729474,64.70600084283734,220,95,125,125
ZINCj600001bPpQC,11.450835230797816,64.70600084283734,194,96,98,98
ZINCj7000002nZj8,12.81690464124074,64.70600084283734,99,97,2,2
ZINCj700000xcgLi,14.140934039708496,64.70600084283734,35,98,-63,63
ZINCj8000002rHpm,11.096844817478948,64.70600084283734,216,99,117,117
