stage3_screen_rank,zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count,pool_source_stage3_rank,pool_source_hotspot_breadth,pool_source_native_support,pool_primary_source,murcko_scaffold,native_candidate_pool_rank,native_selection_rank,source_input_rank
599,ZINCf50000027Ght,CNCCNC(=O)c1cc([N+](=O)[O-])n[nH]1,10.714285714285714,13.397478468997424,0.8296961832093542,11.115836750356666,3,213.197,-0.7329000000000003,3,5,5,1,,,,42.70188545168093,12,9,3,9,4,1,,,,,15.944933811124804,9.939985809553486,40.27722821248393,22.63417172126384,2,16,11,1.100076270958724,0.8729403225808093,5.971881696751884,5.715900433445462,28,1,1,1,stage3_rank,c1cn[nH]c1,1,1,1
618,ZINCf50000009Xx0,C[C@H](N)CNC(=O)c1n[nH]cc1[N+](=O)[O-],10.714285714285714,13.397478468997424,0.8267665263909423,11.07658673621044,3,213.197,-0.6050999999999995,3,5,4,1,,,,39.842871600455815,11,8,3,8,4,1,,,,,8.847841993363781,5.314155797860607,26.408095238095243,16.596599395136792,446,16,15,1.092371695359542,0.8963698527285539,5.971881696751884,5.710002761391741,28,1,1,1,stage3_rank,c1cn[nH]c1,2,2,2
676,ZINCf5000000azI1,[N-]=[N+]=NCC(=O)Nc1n[nH]cc1C(N)=O,10.714285714285714,13.397478468997424,0.8205748312870325,10.99363363436921,3,209.169,-0.2426,3,4,4,1,,,,37.25597927228089,11,7,4,7,4,1,,,,,12.023655501346168,7.509334290415523,30.14666252072968,18.331736444079848,95,16,3,1.1045693297067012,0.9286000585632946,5.971881696751884,6.1760632513721525,28,1,1,1,stage3_rank,c1cn[nH]c1,3,3,3
792,ZINCf5000002anY8,[N-]=[N+]=NCCNC(=O)c1cc(CO)[nH]n1,10.714285714285714,13.397478468997424,0.8065007296131298,10.80507616022262,3,210.197,-0.0579000000000001,3,4,5,1,,,,36.12389901933475,11,7,4,7,4,1,,,,,14.624665042106196,9.213182712872266,35.44195953141641,19.999473536413333,20,16,10,1.0774641313794848,1.0034141980051683,5.971881696751884,5.396192785221563,28,1,1,1,stage3_rank,c1cn[nH]c1,4,4,4
31,ZINCf50000009NgI,C[C@@H](O)CNC(=O)c1cc(C(=O)O)n[nH]1,17.857142857142858,19.267729830797304,0.6776591833936407,13.056954062987392,5,213.193,-0.7815000000000001,4,4,4,1,,,,33.53556236164904,11,6,5,6,4,1,,,,,10.822969992181742,6.823531097489688,26.15030494956604,16.501118084548565,486,16,11,1.711062469561369,1.2158952224341135,11.611623357653302,10.22782082939214,28,1,1,1,stage3_rank,c1cn[nH]c1,5,5,5
809,ZINCf5000000ZuTq,C[C@H](O)CC(=O)Nc1n[nH]cc1C(N)=O,17.857142857142858,19.267729830797304,0.5597820242560813,10.785728807502997,5,212.209,-0.7819999999999998,4,4,4,1,,,,33.53556236164904,11,6,5,6,4,1,,,,,9.017519655166602,5.61466798500609,22.89086058919045,15.147030331787212,1399,16,9,1.609508331812351,1.7746637738961613,11.611623357653302,8.952770826104349,28,1,1,1,stage3_rank,c1cn[nH]c1,6,6,6
793,ZINCf50000017zMg,CC[C@@H](O)CC(=O)NC[C@@H]1C[C@H]1[N+](=O)[O-],10.714285714285714,11.941734001087902,0.904802572856981,10.804911648558022,3,216.237,-0.0712000000000001,2,4,6,1,,,,33.036005458396964,10,7,3,7,4,1,,,,,10.631593595363611,6.115389593373068,40.65590459569518,16.23269656112195,604,16,8,0.8916632899434448,0.5229962872256945,9.413178262414874,9.66945299132604,28,1,1,1,stage3_rank,C1CC1,7,7,7
124,ZINCf5000000Zy6i,O=C(CCCO)NCc1cc(CO)n[nH]1,14.285714285714286,15.18474175275134,0.8258442012292415,12.540230923673242,4,213.237,-0.7093000000000005,4,4,6,1,,,,32.983637231917015,11,7,4,7,4,1,,,,,13.904234005663517,8.825757907612953,32.747844827586206,18.674084812226887,72,16,9,1.0172002457633185,0.8741381957527473,11.611623357653302,10.691042932036591,28,1,1,1,stage3_rank,c1cn[nH]c1,8,8,8
393,ZINCf5000000ZvpQ,Cc1cc(CNC(=O)[C@H](N)CCO)n[nH]1,10.714285714285714,13.397478468997424,0.857901273622604,11.493713841884304,3,212.253,-0.9559799999999992,4,4,5,1,,,,32.983637231917015,11,7,4,7,4,1,,,,,13.882187719024246,8.667341342276497,34.85064011379801,18.65755009724744,75,16,3,0.867740268680718,0.8612941659924318,5.971881696751884,5.777096285491604,28,1,1,1,stage3_rank,c1cn[nH]c1,9,9,9
524,ZINCf5000000951q,CC[C@@H](N)CC(=O)Nc1n[nH]c(CN)n1,14.285714285714286,16.024722079133863,0.7018212909058089,11.246491135984543,4,212.257,-0.6706999999999992,4,5,5,1,,,,32.983637231917015,11,7,4,7,4,1,,,,,10.582234748666366,6.479234505084881,28.8543859649123,16.18258536947903,625,16,8,1.4921291249304158,1.3824007522829458,9.413178262414874,9.133274207603373,28,1,1,1,stage3_rank,c1nc[nH]n1,11,10,10
