metric,estimate,ci_low,ci_high
pearson_r,0.2245116891930697,0.13357191219128223,0.31043442541430366
spearman_rho,0.16260294391220093,0.08656345019227116,0.2382793119550263
kendall_tau,0.12463926681620532,0.06673937607603851,0.18199785659835918
linear_slope_native_pct_per_screen_pct,0.3219428235014541,,
linear_intercept,18.116076221358757,,
linear_r_squared,0.05040549858432578,,
linear_p_value,7.762144831885927e-09,,
linear_std_err,0.05502106968366629,,
linear_residual_rmse,1.7966334934576498,,
linear_residual_mae,1.2529173278691799,,
