ligand_id,weighted_coverage_pct,native_weighted_coverage_pct,screen_rank,native_rank,rank_shift,abs_rank_shift
CHEMBL6027640,15.294817815717844,27.857053308712405,1,1,0,0
ZINCf5000000Ztc9,11.34627124426822,27.1614555648564,206,2,204,204
ZINCf5000000Zy6i,12.540230923673242,27.1614555648564,61,3,58,58
ZINCf5000000Zy6k,11.977587807331576,27.1614555648564,107,4,103,103
ZINCf5000003peKY,10.741034723345054,27.1614555648564,408,5,403,403
ZINCf50000009vDy,12.02171603085134,26.780152817693477,102,6,96,96
ZINCf5000000Ztii,11.497601265561388,24.866510090916968,174,7,167,167
ZINCf5000001Vm2l,11.658262192947454,24.866510090916968,148,8,140,140
ZINCf50000035YH4,12.21710129087357,24.866510090916968,85,9,76,76
ZINCf5000003pVH9,12.899523418866488,24.866510090916968,32,10,22,22
CHEMBL250748,10.280656228197527,24.648176553600397,482,11,471,471
CHEMBL400700,13.260316275058848,24.648176553600397,6,12,-6,6
ZINCf50000008YOZ,11.854317521307658,24.648176553600397,119,13,106,106
ZINCf5000002KjEi,10.54376074908609,24.648176553600397,443,14,429,429
ZINCf50000043eBP,11.349439803815503,24.648176553600397,205,15,190,190
CHEMBL251760,11.97777529525063,24.07736890801071,106,16,90,90
ZINCf5000000a713,13.219481823048673,24.07736890801071,8,17,-9,9
ZINCf50000008HE2,11.45450623014288,23.254822119168495,187,18,169,169
ZINCf5000000951q,11.246491135984543,23.254822119168495,237,19,218,218
ZINCf500000097Bk,11.263578731058512,23.254822119168495,232,20,212,212
ZINCf50000009Bee,11.219953266430682,23.254822119168495,249,21,228,228
ZINCf50000009UDT,10.820313324788778,23.254822119168495,379,22,357,357
ZINCf50000009xLN,11.96492633579871,23.254822119168495,109,23,86,86
ZINCf5000000SO23,11.494995028232276,23.254822119168495,176,24,152,152
ZINCf5000000VZl6,11.406122963660732,23.254822119168495,195,25,170,170
ZINCf5000000Vm9s,10.930032397253012,23.254822119168495,335,26,309,309
ZINCf5000000WBNO,11.267538505537084,23.254822119168495,229,27,202,202
ZINCf5000000ZtN2,11.982024713918792,23.254822119168495,105,28,77,77
ZINCf5000000ZymF,11.003541584699002,23.254822119168495,315,29,286,286
ZINCf5000000a9Jc,11.33677262354618,23.254822119168495,207,30,177,177
ZINCf5000000a9zX,11.720079852216736,23.254822119168495,140,31,109,109
ZINCf5000000aaaM,10.27714802619098,23.254822119168495,483,32,451,451
ZINCf5000000alcE,10.540057953844808,23.254822119168495,445,33,412,412
ZINCf5000000alio,11.482193635865748,23.254822119168495,181,34,147,147
ZINCf5000000aloh,12.10414413948115,23.254822119168495,95,35,60,60
ZINCf5000000amcB,10.34600418793225,23.254822119168495,476,36,440,440
ZINCf5000000avOv,10.897318996251489,23.254822119168495,346,37,309,309
ZINCf50000017zNK,11.666748676431242,23.254822119168495,147,38,109,109
ZINCf500000180cQ,11.765581420839586,23.254822119168495,132,39,93,93
ZINCf5000001nL6f,10.93209177800208,23.254822119168495,334,40,294,294
ZINCf5000002KkFr,12.420323478190928,23.254822119168495,69,41,28,28
ZINCf5000002O4Xa,10.29357258715515,23.254822119168495,480,42,438,438
ZINCf5000002OhWl,10.472553940714436,23.254822119168495,457,43,414,414
ZINCf5000002fpSf,10.5090593205067,23.254822119168495,451,44,407,407
ZINCf5000002oKIr,11.815971813171268,23.254822119168495,125,45,80,80
ZINCf5000002oKzQ,11.17645288322714,23.254822119168495,256,46,210,210
ZINCf5000002rFgJ,10.9418623606462,23.254822119168495,332,47,285,285
ZINCf50000036300,11.099238907363636,23.254822119168495,281,48,233,233
ZINCf50000036doE,10.885412614697236,23.254822119168495,351,49,302,302
ZINCf5000000SOzI,11.862907357042786,22.72532033558073,118,50,68,68
ZINCf5000000Ztft,10.77263429109777,22.72532033558073,398,51,347,347
ZINCf5000002oVkL,9.877003253181478,22.49259481275083,520,52,468,468
ZINCf5000000Vn3o,10.798157128030324,22.344017588417803,386,53,333,333
ZINCf5000000WAGh,10.864594067255531,22.344017588417803,363,54,309,309
ZINCf5000002KvIc,13.247030224741646,22.344017588417803,7,55,-48,48
CHEMBL400500,10.876710526205123,22.280050230501065,354,56,298,298
ZINCf50000008Jbu,10.854337118858492,22.280050230501065,365,57,308,308
ZINCf5000000958v,10.176974177900028,22.280050230501065,496,58,438,438
ZINCf500000095Mu,12.155555776068525,22.280050230501065,91,59,32,32
ZINCf500000097zZ,12.734983646280634,22.280050230501065,44,60,-16,16
ZINCf5000000982u,10.970032759184178,22.280050230501065,326,61,265,265
ZINCf500000098Up,11.297179706818058,22.280050230501065,217,62,155,155
