zinc_id,smiles,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank
CHEMBL6027640,Cn1c(CN2CCC(c3cccc(OCc4ccc(C#N)cc4)n3)CC2)nc2ccc(C(=O)O)cc21,481.55600000000027,4.496780000000004,1,7,7,1,0,,,47.60236874699692,15,10,5,10,3,1,2,2,2,15.726841794277618,39.65583363463798,30.54364920101796,56.516616314199375,41.64246741272771,1
ZINCf50000027Ght,CNCCNC(=O)c1cc([N+](=O)[O-])n[nH]1,213.19699999999997,-0.7329000000000003,3,5,5,1,0,,,42.70188545168093,12,9,3,9,4,1,1,1,1,12.482313916606609,15.944933811124805,9.939985809553486,40.27722821248393,22.634171721263836,2
ZINCf5000000a7tL,Cc1n[nH]cc1CCCNC(=O)C(N)=O,210.23699999999997,-0.7477799999999999,3,3,4,1,0,,,32.391143412755326,11,6,5,6,4,1,1,1,1,7.932521475509632,17.913995860484874,11.438209155823763,41.29113018597999,21.533282748552487,3
CHEMBL251760,CC(C)c1nc2cc(Cl)c(Cl)cc2nc1S(=O)(=O)Cc1ccc(S(C)(=O)=O)cc1,473.40300000000025,4.437400000000005,0,6,5,1,0,,,33.97952309762827,10,7,3,7,2,1,0,0,0,0.0,17.34023165384258,10.357003632870583,53.23200559049616,21.500054514789003,4
ZINCf5000000a63L,Cc1c[nH]nc1CNCCOCC(=O)O,213.23699999999997,-0.09107999999999944,3,4,7,1,0,,,32.391143412755326,11,6,5,6,4,1,1,1,1,7.932521475509632,17.335018624050356,10.939620389152555,41.73178967679692,21.099049821226597,5
ZINCf5000000aohG,O=C(CCC[N+](=O)[O-])N1CC([N+](=O)[O-])C1,217.18099999999998,-0.46920000000000006,0,5,5,1,0,,,38.773318584354556,10,8,2,8,2,1,0,0,0,0.0,14.875519228208795,8.592024198874624,55.364611747590466,20.849969067245233,6
ZINCf50000009euB,CN(CCCC(=O)O)CCOCC(=O)O,219.23699999999994,-0.11579999999999996,2,4,9,1,0,,,29.637942592517557,11,6,5,6,3,1,2,2,2,15.726841794277618,17.616983583918238,11.108809959838068,42.53840304182507,20.622223336068068,7
ZINCf500000180cQ,Cc1nn[nH]c1CCCNC(=O)CON,213.24099999999996,-0.947779999999999,3,5,6,1,0,,,32.391143412755326,11,6,5,6,4,1,1,1,1,7.932521475509632,16.698871091939942,10.589853227404173,39.465541490857944,20.62193917214379,8
ZINCf5000000a7qA,Cc1n[nH]c(C)c1CCNC(=O)C(N)=O,210.23699999999997,-0.8294599999999994,3,3,3,1,0,,,32.391143412755326,11,6,5,6,4,1,1,1,1,7.932521475509632,16.62092451894206,10.536743702611153,39.33249821045098,20.56347924239538,9
ZINCf50000009jEj,CNC(=O)CNC(=O)C=Cc1cnc[nH]1,208.22100000000003,-0.7148999999999996,3,3,4,1,1,,michael_acceptor,30.395859450550955,10,5,5,5,3,1,0,0,0,0.0,17.259328880444315,10.554233581842098,47.3246152945995,20.543461522970976,10
