stage3_screen_rank,zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count,pool_source_stage3_rank,pool_source_hotspot_breadth,pool_source_native_support,pool_primary_source,murcko_scaffold,native_candidate_pool_rank,native_selection_rank,source_input_rank
404,CHEMBL3819071,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)C(=O)c1c(-c2ccccc2)[nH]c2ccccc12)C(C)C)C(=O)OC,17.857142857142858,20.731008121704747,0.7541861185730011,15.635038549413864,5,491.5880000000002,3.862300000000002,3,5,10,1,,,,50.6180067761586,17,12,5,12,3,1,,,,,34.077703964977054,25.904338722765363,49.78634632616487,38.21277966777244,9,16,15,1.1521582983154766,1.252903023032271,8.622706883572002,7.9186884669365,28,1,1,1,stage3_rank,c1ccc(-c2cc3ccccc3[nH]2)cc1,1,1,1
301,CHEMBL6006846,C[C@H](CO)Nc1nc2nc(-c3n[nH]c(=O)o3)nc(-c3cccc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,21.428571428571427,22.48720954490865,0.7058973450714884,15.873661515817252,6,497.9870000000004,4.109000000000003,3,9,7,1,,,,48.131252117081154,14,9,5,9,3,1,,,,,37.42873731096496,26.747018130704557,62.31487621573834,40.104366012494005,2,16,11,1.592576940415009,1.2800638476316597,10.950081780516529,10.622863637974952,28,1,1,1,stage3_rank,O=c1[nH]nc(-c2nc(-c3ccccc3)c3c(ncn3CC3CCCCC3)n2)o1,2,2,2
884,CHEMBL6064615,C[C@@H](Nc1nc(-c2noc(=O)[nH]2)nc2nc(-n3ccnc3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,17.857142857142858,18.961807114312236,0.7760169301309316,14.714683346583438,5,477.5730000000004,3.7821000000000016,2,10,7,1,,,,47.76566571547168,15,10,5,10,3,1,,,,,34.55182705168373,24.512167594546828,58.520621812567285,37.85528671763072,10,16,2,1.2738893287126571,1.079834871192865,10.950081780516529,11.156354198226593,28,1,1,1,stage3_rank,O=c1[nH]c(-c2nc(NCC3CCC3)c3c(n2)nc(-n2ccnc2)n3CC2CCCCC2)no1,3,3,3
486,CHEMBL5921912,C[C@@H](Nc1nc(-c2noc(=O)[nH]2)nc2nc(-c3nccs3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,21.428571428571427,21.846958962671163,0.708765334959721,15.484367187028909,6,494.62500000000045,4.719900000000004,2,10,7,1,,,,47.76566571547168,15,10,5,10,3,1,,,,,33.598470700471786,23.732169228265885,57.50556737612381,37.140269454221766,12,16,11,1.550712429976444,1.296821015577066,12.96195336359455,12.715137509404297,28,1,1,1,stage3_rank,O=c1[nH]c(-c2nc(NCC3CCC3)c3c(n2)nc(-c2nccs2)n3CC2CCCCC2)no1,4,4,4
143,ZINCj800000PwOle,CC[C@H](O)CONc1nccc(C(N)=O)c1[N+](=O)[O-],17.857142857142858,20.731008121704747,0.7928177548701223,16.43591131524423,5,270.245,0.2031000000000002,3,7,7,1,,,,47.66290137427477,13,10,3,10,3,1,,,,,20.17012992428304,12.858740026751525,46.75429726996969,27.043322786780973,259,16,4,1.3211031438000396,0.9061989898982392,8.622706883572002,9.23630123861916,28,1,1,1,stage3_rank,c1ccncc1,5,5,5
691,ZINCj7000002nQur,COC[C@@H](CO)Nc1nccc(C(=O)O)c1[N+](=O)[O-],14.285714285714286,19.005613846886952,0.7951330414295757,15.111991542311282,4,271.229,0.1072000000000001,3,7,7,1,,,,47.66290137427477,13,10,3,10,3,1,,,,,18.66619251437093,12.00118434581852,41.980701153363015,25.91536972934689,434,16,0,1.1311986612649605,1.0098431575075262,8.622706883572002,7.852707903955477,28,1,1,1,stage3_rank,c1ccncc1,6,6,6
616,ZINCk5000003YIza,CN(CCO)CCNC(=O)c1c(Cl)c([N+](=O)[O-])nn1C,17.857142857142858,20.731008121704747,0.7352829736936612,15.24315729939451,5,305.72200000000004,-0.3644000000000007,2,7,7,1,,,,47.48674562757669,14,11,3,11,3,1,,,,,25.898388200603613,17.00255204569695,54.31776556776556,31.29547755734688,37,16,3,1.5421624085881305,1.1327309009966346,8.622706883572002,8.89603009061387,28,1,1,1,stage3_rank,c1cn[nH]c1,7,7,7
505,ZINCk800001bPO03,CO[C@H](CCC(=O)O)CNCc1c([N+](=O)[O-])cnn1C,17.857142857142858,20.731008121704747,0.7449292425614625,15.443134177637043,5,286.288,0.2977000000000001,2,7,9,1,,,,47.48674562757669,14,11,3,11,3,1,,,,,25.08708028915384,16.25647401726499,54.91984006092915,30.686996623759555,47,16,11,1.4943490091932072,1.1119587130914763,8.622706883572002,8.795651699332092,28,1,1,1,stage3_rank,c1cn[nH]c1,8,8,8
794,ZINCk800001bPO2k,CO[C@H](C)[C@@H](CC(=O)O)NCc1c([N+](=O)[O-])cnn1C,17.857142857142858,20.731008121704747,0.7197241031233642,14.920606227237128,5,286.288,0.2961000000000003,2,7,8,1,,,,47.48674562757669,14,11,3,11,3,1,,,,,23.456846775116954,15.13315744674458,52.12979182533636,29.46432148823189,80,16,14,1.258879663184966,1.253411656004736,8.622706883572002,7.17359526084564,28,1,1,1,stage3_rank,c1cn[nH]c1,9,9,9
669,ZINCk500000dqn2i,O=[N+]([O-])c1cnn(C[C@H](O)CNCCc2cn[nH]c2)c1,17.857142857142858,20.731008121704747,0.7306298810512026,15.146693998032656,5,280.288,-0.2924,3,7,8,1,,,,46.93753382038521,12,9,3,9,3,1,,,,,24.99119080785712,15.86219227215246,58.87474640131387,30.477776560989145,49,16,13,1.5671770580123008,1.150737548852233,8.622706883572002,8.636638611448616,28,1,1,1,stage3_rank,c1cnn(CCCNCCc2cn[nH]c2)c1,10,10,10
