zinc_id,smiles,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank
CHEMBL4068667,CC(CC(=O)N[C@@H](Cc1ccc(OCCCNc2ccccn2)cc1)C(=O)O)c1ccccc1,461.56200000000007,4.268300000000003,3,5,13,1,0,,,45.22075913782799,14,9,5,9,3,1,0,0,0,0.0,38.81459204940188,27.490224154543057,66.0046593737339,40.41613382150841,1
CHEMBL6006846,C[C@H](CO)Nc1nc2nc(-c3n[nH]c(=O)o3)nc(-c3cccc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,497.98700000000036,4.109000000000003,3,9,7,1,0,,,48.131252117081154,14,9,5,9,3,1,0,0,0,0.0,37.428737310964955,26.747018130704554,62.31487621573834,40.104366012494005,2
CHEMBL5988926,C[C@H](CO)Nc1nc2nc(C(=O)O)nc(N[C@H](C)C3CCC3)c2n1Cc1ccc(C(F)(F)F)cc1,492.5020000000003,3.9848000000000026,4,8,9,1,0,,,50.55315108517669,17,12,5,12,3,1,0,0,0,0.0,35.82993615881496,26.278777963702492,56.28815992931303,39.5107398904054,3
CHEMBL5901726,C[C@@H](Nc1nc(-c2noc(=O)[nH]2)nc2nc(N3CC(C)(O)C3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,496.6160000000005,3.1674000000000007,3,10,7,1,0,,,44.95259287999909,15,10,5,10,3,1,0,0,0,0.0,37.13546703706193,26.00612298789055,64.91657414261043,39.08974849779622,4
CHEMBL5869704,C[C@@H](Nc1nc(-c2noc(=O)[nH]2)nc2nc(C(O)C3CCC3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,495.62800000000055,4.4299000000000035,3,9,8,1,0,,,46.73304833622669,16,11,5,11,3,1,0,0,0,0.0,36.15331987775646,25.164636072910092,64.17806157550744,38.79825199237402,5
CHEMBL5989834,CC(C)C(O)c1nc2nc(-c3noc(=O)[nH]3)nc(N[C@H](C)C3CCC3)c2n1C[C@H]1CC[C@H](C)CC1,483.6170000000004,4.285800000000004,3,9,8,1,0,,,44.95259287999909,15,10,5,10,3,1,0,0,0,0.0,36.599706704101415,25.374307945606144,65.63701952902056,38.687928248075835,6
CHEMBL2313485,COc1cc(C(O)c2c(-c3cc[nH]c3)[nH]c3ccccc23)cc(OC)c1OC,378.4280000000002,4.270500000000002,3,4,6,1,0,,,46.07385638839414,14,9,5,9,3,1,0,0,0,0.0,36.06214268281362,25.664167452409593,60.624473676568826,38.565071109208745,7
CHEMBL6050672,C[C@@H](Nc1nc(C(=O)O)nc2nc(-c3cnn(C)c3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,499.49700000000024,4.592600000000004,2,8,7,1,0,,,51.346529062795284,17,12,5,12,3,1,0,0,0,0.0,33.94125921696,24.6790950647251,54.33244577578077,38.29257667841882,8
CHEMBL3819071,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)C(=O)c1c(-c2ccccc2)[nH]c2ccccc12)C(C)C)C(=O)OC,491.5880000000002,3.862300000000002,3,5,10,1,0,,,50.618006776158595,17,12,5,12,3,1,0,0,0,0.0,34.077703964977054,25.904338722765363,49.78634632616487,38.21277966777244,9
CHEMBL6064615,C[C@@H](Nc1nc(-c2noc(=O)[nH]2)nc2nc(-n3ccnc3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,477.57300000000043,3.7821000000000016,2,10,7,1,0,,,47.765665715471684,15,10,5,10,3,1,0,0,0,0.0,34.55182705168373,24.512167594546828,58.520621812567285,37.85528671763072,10
