ligand_id,weighted_coverage_pct,native_weighted_coverage_pct,screen_rank,native_rank,rank_shift,abs_rank_shift
CHEMBL4068667,17.352319446757463,87.76478703756293,20,1,19,19
CHEMBL6006846,15.873661515817252,87.76478703756293,216,2,214,214
CHEMBL3819071,15.635038549413864,74.67390888937828,291,3,288,288
CHEMBL5859878,14.177934256513511,74.67390888937828,821,4,817,817
CHEMBL1688303,12.940122584102369,72.00121283194781,1023,5,1018,1018
CHEMBL3217780,11.801067109286585,72.00121283194781,1103,6,1097,1097
CHEMBL3220103,12.13164504000842,72.00121283194781,1088,7,1081,1081
CHEMBL5745234,13.963113542269678,72.00121283194781,874,8,866,866
CHEMBL5747471,12.826432301696634,72.00121283194781,1031,9,1022,1022
CHEMBL5808134,16.50581282941557,72.00121283194781,89,10,79,79
CHEMBL5811937,14.696905592280023,72.00121283194781,658,11,647,647
CHEMBL5816136,13.912628870665952,72.00121283194781,886,12,874,874
CHEMBL5869704,14.271289237831834,72.00121283194781,789,13,776,776
CHEMBL5879668,14.981348447392424,72.00121283194781,564,14,550,550
CHEMBL5901726,14.37132628841144,72.00121283194781,757,15,742,742
CHEMBL5921912,15.484367187028909,72.00121283194781,353,16,337,337
CHEMBL5928219,13.06834257348796,72.00121283194781,1006,17,989,989
CHEMBL5988926,13.502015324336565,72.00121283194781,953,18,935,935
CHEMBL5989834,14.101757861892471,72.00121283194781,835,19,816,816
CHEMBL6012158,13.703385835778189,72.00121283194781,923,20,903,903
CHEMBL6024197,15.1568253378925,72.00121283194781,483,21,462,462
CHEMBL6030067,14.055396384098431,72.00121283194781,849,22,827,827
CHEMBL6050672,11.973998454696403,72.00121283194781,1097,23,1074,1074
CHEMBL6064615,14.714683346583438,72.00121283194781,654,24,630,630
CHEMBL3653239,14.21887583359087,71.86203487609751,807,25,782,782
ZINCk6000004djU7,13.757611703903194,71.86203487609751,912,26,886,886
CHEMBL5877121,14.723047202660029,69.08892756644128,652,27,625,625
CHEMBL5978015,13.068739556200772,69.08892756644128,1005,28,977,977
CHEMBL5849977,14.675516870230036,68.01169462226007,664,29,635,635
CHEMBL5883242,15.320798230660516,68.01169462226007,423,30,393,393
CHEMBL6024824,15.566258331816336,68.01169462226007,316,31,285,285
ZINCk500000dpG5L,14.046179009391873,63.43306398638689,853,32,821,821
CHEMBL2313485,12.20587602674345,61.42780556597803,1077,33,1044,1044
CHEMBL3265101,13.93365015810254,61.42780556597803,883,34,849,849
CHEMBL3407579,16.280855082268513,61.42780556597803,129,35,94,94
CHEMBL3687241,15.15185533877056,61.42780556597803,486,36,450,450
CHEMBL3693969,11.780116097498205,61.42780556597803,1106,37,1069,1069
CHEMBL4102803,15.3347619915564,61.42780556597803,421,38,383,383
CHEMBL4109769,14.199117765094243,61.42780556597803,812,39,773,773
CHEMBL4114636,14.888199467990807,61.42780556597803,597,40,557,557
CHEMBL4115504,13.968481400538314,61.42780556597803,870,41,829,829
CHEMBL5854116,15.382985428152,61.42780556597803,398,42,356,356
CHEMBL5876084,15.010588018191273,61.42780556597803,548,43,505,505
CHEMBL5913446,13.986605984816588,61.42780556597803,867,44,823,823
ZINCj5000002cle6,16.211752133221196,61.42780556597803,145,45,100,100
ZINCj5000002heDb,13.763820749056851,61.42780556597803,909,46,863,863
ZINCj500000d7r4e,14.194635478496256,61.42780556597803,815,47,768,768
ZINCj500000xc2b8,15.409578059253173,61.42780556597803,390,48,342,342
ZINCj6000009j9yh,15.973910263430662,61.42780556597803,189,49,140,140
ZINCj600000PAmVP,14.428811480632776,61.42780556597803,740,50,690,690
ZINCj600000PHDaj,15.099361850380038,61.42780556597803,516,51,465,465
ZINCj6000018TSma,12.823999826786457,61.42780556597803,1032,52,980,980
ZINCj7000002nUuA,14.625757739223078,61.42780556597803,687,53,634,634
ZINCj700000BmWsp,14.053811994270632,61.42780556597803,851,54,797,797
ZINCj700000PKMoT,14.090559268366288,61.42780556597803,839,55,784,784
ZINCj7000018SQAn,15.735864012865028,61.42780556597803,261,56,205,205
ZINCj8000009kvGM,13.32407758113893,61.42780556597803,974,57,917,917
ZINCj8000009kyrL,17.47217027610053,61.42780556597803,16,58,-42,42
ZINCj800000Ghtwb,15.632161762610204,61.42780556597803,293,59,234,234
ZINCj800000JUvI7,15.33823726933921,61.42780556597803,418,60,358,358
ZINCj800000xceQv,15.686340594401116,61.42780556597803,277,61,216,216
ZINCj800001bP0sG,14.810125721495462,61.42780556597803,620,62,558,558
ZINCk5000003XRfT,13.236852569794376,61.42780556597803,985,63,922,922
ZINCk50000041b6k,15.577884735970072,61.42780556597803,308,64,244,244
ZINCk50000041ja5,14.870427713553749,61.42780556597803,603,65,538,538
ZINCk50000046wYh,15.136836939155115,61.42780556597803,492,66,426,426
ZINCk5000009CsmP,15.369673712369671,61.42780556597803,405,67,338,338
ZINCk5000009F7Hj,13.712303667296474,61.42780556597803,922,68,854,854
ZINCk5000009FRUR,13.495410287777185,61.42780556597803,955,69,886,886
ZINCk5000009FjIn,16.457481774815736,61.42780556597803,95,70,25,25
ZINCk5000009FjIo,16.416080219144362,61.42780556597803,106,71,35,35
ZINCk500000BlR7m,13.863313764181951,61.42780556597803,897,72,825,825
ZINCk500000cLfyB,14.532980588324662,61.42780556597803,710,73,637,637
ZINCk500000dorLm,14.502025126493653,61.42780556597803,720,74,646,646
ZINCk500000dov1Z,15.166240104895806,61.42780556597803,477,75,402,402
ZINCk500000dp3ZE,14.814677408923162,61.42780556597803,619,76,543,543
ZINCk500000dpAbr,14.423059801367051,61.42780556597803,745,77,668,668
ZINCk500000dpdqr,13.90277705555162,61.42780556597803,892,78,814,814
ZINCk500000dpgrI,14.66434988411812,61.42780556597803,671,79,592,592
ZINCk500000dpgsd,15.349356524877775,61.42780556597803,411,80,331,331
ZINCk500000dqn2i,15.146693998032656,61.42780556597803,489,81,408,408
ZINCk500000g7hIw,14.304790725839691,61.42780556597803,780,82,698,698
ZINCk500000gbth6,14.110236375129649,61.42780556597803,834,83,751,751
ZINCk500000gehBx,15.349818559061994,61.42780556597803,410,84,326,326
ZINCk6000004bCgP,15.742111342823012,61.42780556597803,257,85,172,172
ZINCk6000004dS7C,13.924661424688114,61.42780556597803,885,86,799,799
ZINCk6000004dtEO,15.465682217579554,61.42780556597803,362,87,275,275
ZINCk6000004dtiH,16.046813972361655,61.42780556597803,175,88,87,87
ZINCk6000004dvHh,16.94522927900787,61.42780556597803,44,89,-45,45
ZINCk6000009J8yF,15.34434654691375,61.42780556597803,413,90,323,323
ZINCk6000009Jov9,16.616264168034743,61.42780556597803,70,91,-21,21
ZINCk6000009JtCL,14.892723495185477,61.42780556597803,596,92,504,504
ZINCk600000J9LKx,16.075956197495774,61.42780556597803,169,93,76,76
ZINCk600000JSbJP,15.686993463844187,61.42780556597803,276,94,182,182
ZINCk600000JT4WB,17.315124107119022,61.42780556597803,21,95,-74,74
ZINCk600000Pys2K,14.401981106586586,61.42780556597803,747,96,651,651
ZINCk600000Pytu2,15.0140499583154,61.42780556597803,547,97,450,450
ZINCk600000PzaKr,16.95089544600872,61.42780556597803,43,98,-55,55
ZINCk600000dqNGZ,14.39206036383929,61.42780556597803,752,99,653,653
ZINCk600000dr0Jt,14.816657294278476,61.42780556597803,618,100,518,518
ZINCk600000gpKkB,15.97498573979088,61.42780556597803,188,101,87,87
ZINCk600000gpYM1,12.819108984588024,61.42780556597803,1033,102,931,931
ZINCk600000gpewG,15.798575752604632,61.42780556597803,240,103,137,137
ZINCk600000gpmv3,14.229768998132114,61.42780556597803,800,104,696,696
ZINCk600000gqiwU,14.746558651329606,61.42780556597803,646,105,541,541
ZINCk600000xcroM,15.069602671537584,61.42780556597803,530,106,424,424
ZINCk6000018SQXr,15.395305031439362,61.42780556597803,396,107,289,289
ZINCk600001bNsCK,14.14025086031096,61.42780556597803,831,108,723,723
ZINCk7000004eSXN,14.025464278490045,61.42780556597803,856,109,747,747
