stage3_screen_rank,zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count,pool_source_stage3_rank,pool_source_hotspot_breadth,pool_source_native_support,pool_primary_source,murcko_scaffold,native_candidate_pool_rank,native_selection_rank,source_input_rank
24,CHEMBL1493442,COc1ccc(Oc2cc(NC(=O)c3nn(C)cc3[N+](=O)[O-])cc([N+](=O)[O-])c2)cc1,17.857142857142858,18.64662187488897,0.7728234687558585,14.410546997930568,5,413.3460000000002,3.2897000000000007,1,9,7,1,,,,51.66187788934886,14,11,3,11,3,1,,,,,25.88090953616519,18.59290442895844,42.56572870264858,32.326151624461104,1,16,13,1.307590599892493,1.0519735804811934,10.12277066815208,10.649825446503488,28,1,1,1,stage3_rank,O=C(Nc1cccc(Oc2ccccc2)c1)c1cc[nH]n1,1,1,1
238,ZINCk6000018TfsA,COCC[C@@H](O)Cn1cc([N+](=O)[O-])cc([N+](=O)[O-])c1=O,14.285714285714286,15.88205815688328,0.7089082081359358,11.258921389506847,4,287.22800000000007,0.0620999999999998,1,8,7,1,,,,37.55985641835179,10,7,3,7,3,1,,,,,9.867519851627652,6.342818602897888,22.20911360799002,16.790603993308686,21,16,8,1.5173468401653587,1.323330586830702,6.493394566788621,6.662976470433398,28,1,1,1,stage3_rank,O=c1cccc[nH]1,2,2,2
139,ZINCk600000PBwsY,C[S@](=O)CC[C@H](NC(=O)c1cc([N+](=O)[O-])sn1)C(=O)O,14.285714285714286,15.88205815688328,0.7749065572396696,12.307111008230637,4,321.33600000000007,0.0029000000000001,2,7,7,1,,,,34.91277919563592,10,6,4,6,3,1,,,,,10.268540700651512,6.449451895236273,25.177687270404085,16.429600324397615,27,16,13,1.3282457502707956,1.0175252653089395,6.493394566788621,7.0777133373698335,28,1,1,1,stage3_rank,c1cnsc1,3,3,3
1,CHEMBL3315213,O=C(Cn1ccc2cc(-c3cnc4ccccc4c3)ccc21)N[C@@H](Cc1ccccc1)C(=O)O,25.0,24.9468197638194,0.6898209381388801,17.208838613059456,7,449.51000000000016,4.668600000000002,2,4,7,1,,,,33.79822083746637,11,5,6,5,3,1,,,,,21.873595919839385,14.642050748715366,43.21895424836601,24.854752149246128,2,16,9,1.7315711223839862,1.1730507403000938,14.962237934212922,13.827685761326029,28,1,1,1,stage3_rank,O=C(Cn1ccc2cc(-c3cnc4ccccc4c3)ccc21)NCCc1ccccc1,4,4,4
2,CHEMBL3315209,CC(C)C[C@H](NC(=O)Cn1ccc2cc(-c3cnc4ccccc4c3)ccc21)c1nn[nH]n1,21.428571428571427,21.527267045397863,0.7637487840457798,16.441424029751406,6,439.5230000000001,4.273200000000003,2,6,7,1,,,,33.79822083746637,11,5,6,5,3,1,,,,,19.45773080696334,13.531682431148152,34.61852518738746,23.042853314589102,4,16,8,1.4727587749277171,0.9994476120081268,12.790023064873656,12.43336613992401,28,1,1,1,stage3_rank,O=C(Cn1ccc2cc(-c3cnc4ccccc4c3)ccc21)NCc1nn[nH]n1,5,5,5
48,ZINCj700000JWx8s,COCC[S@](=O)CCNC(=O)c1cc([N+](=O)[O-])sn1,17.857142857142858,18.64662187488897,0.7216642545746188,13.456600475676533,5,307.353,0.1762000000000002,1,7,8,1,,,,32.30636850213371,9,6,3,6,3,1,,,,,8.895588195039544,5.7344993206585855,19.82262275149305,14.748283271813085,49,16,8,1.367464564301665,1.0837891518697589,10.12277066815208,8.373620532731257,28,1,1,1,stage3_rank,c1cnsc1,6,6,6
91,ZINCk700000drzz2,Cc1ncc([N+](=O)[O-])n1CC[S@](=O)Cc1ncn(C)n1,14.285714285714286,15.88205815688328,0.8058481859029712,12.798527754129877,4,298.328,0.1771199999999997,0,8,6,1,,,,30.27617654613509,8,6,2,6,3,1,,,,,10.170209811779426,6.268143663062001,26.942623729457587,15.196701495368345,39,16,10,1.1540145195896274,0.9483743067270972,6.493394566788621,5.871183875781573,28,1,1,1,stage3_rank,O=S(CCn1ccnc1)Cc1nc[nH]n1,7,7,7
184,ZINCj7000002objj,C[C@@H]1CN(C(=O)c2cc([N+](=O)[O-])n[nH]2)CC[S@](=O)C1,14.285714285714286,14.490870376529076,0.8101126938120241,11.73923803641083,4,286.313,0.1584999999999998,1,5,2,1,,,,28.96491310124815,8,5,3,5,3,1,,,,,6.757342456303688,4.058985238062773,20.15830401777449,12.309235117539805,137,16,9,1.1381928516426223,0.9729127439644624,7.509116392758873,7.483458281786598,28,1,1,1,stage3_rank,O=C(c1ccn[nH]1)N1CCCS(=O)CC1,8,8,8
132,ZINCj6000002lVx8,C[C@H](C[S@](C)=O)N(C)C(=O)Cn1cc([N+](=O)[O-])cn1,14.285714285714286,15.88205815688328,0.7768269352886684,12.337610564088036,4,288.329,0.0166999999999999,0,6,6,1,,,,26.31783587853228,7,5,2,5,3,1,,,,,6.097328904095606,3.569485023189556,20.894263217097865,11.152455647704777,219,16,6,1.294138875477991,1.0574929404629378,6.493394566788621,6.22784696065142,28,1,1,1,stage3_rank,c1cn[nH]c1,9,9,9
125,CHEMBL1328169,Cc1cc(C)n(-c2nc(N(c3ccccc3)c3ccccc3)nc(-n3nc(C)cc3C)n2)n1,17.857142857142858,19.333574592865546,0.6401958743162801,12.377274690138576,5,436.5230000000002,4.9464800000000055,0,8,5,1,,,,26.277485655846327,8,5,3,5,3,1,,,,,10.68568004766291,6.650498026373647,27.172660561586508,14.583631449708763,51,16,10,1.760170983050999,1.335955712628334,10.12277066815208,8.344382156201625,28,1,1,1,stage3_rank,c1ccc(N(c2ccccc2)c2nc(-n3cccn3)nc(-n3cccn3)n2)cc1,10,10,10
