metric,estimate,ci_low,ci_high
pearson_r,0.6921462072808133,0.4070089087162422,0.8910818290121929
spearman_rho,0.6982115139725182,0.3807098227210911,0.8813090972700977
kendall_tau,0.5853028459923888,0.3224876653782931,0.7753464065883044
linear_slope_native_pct_per_screen_pct,4.462493093179021,,
linear_intercept,12.756746162249136,,
linear_r_squared,0.47906637225321463,,
linear_p_value,0.0007209031780698601,,
linear_std_err,1.0968182234561077,,
linear_residual_rmse,8.632157205730865,,
linear_residual_mae,6.4877733454279936,,
