ligand_id,weighted_coverage_pct,native_weighted_coverage_pct,screen_rank,native_rank,rank_shift,abs_rank_shift
CHEMBL3315213,17.208838613059456,92.87906469107205,1,1,0,0
CHEMBL1312502,11.730982994011873,82.68542415239115,18,2,16,16
CHEMBL1468368,16.293251480285928,82.68542415239115,4,3,1,1
CHEMBL1966869,14.353445953786606,82.68542415239115,11,4,7,7
CHEMBL3099777,12.53081595959083,82.68542415239115,16,5,11,11
CHEMBL3315193,15.061202274773407,82.68542415239115,8,6,2,2
CHEMBL3315202,16.418377401924303,82.68542415239115,3,7,-4,4
CHEMBL3315203,15.696065536984223,82.68542415239115,7,8,-1,1
CHEMBL3315204,15.926627279753909,82.68542415239115,6,9,-3,3
CHEMBL3315209,16.441424029751406,82.68542415239115,2,10,-8,8
CHEMBL3315221,14.880421359179808,82.68542415239115,9,11,-2,2
CHEMBL3315223,13.78382801536446,82.68542415239115,12,12,0,0
CHEMBL462830,13.558837317587557,82.68542415239115,13,13,0,0
CHEMBL463811,15.994255419481494,82.68542415239115,5,14,-9,9
CHEMBL1493442,14.410546997930568,72.25788784674289,10,15,-5,5
CHEMBL3099769,12.814420981139245,68.49771632385236,15,16,-1,1
CHEMBL1490404,11.06950873636857,58.30407578517147,19,17,2,2
CHEMBL1547420,13.518354633366243,58.30407578517147,14,18,-4,4
ZINCk600000cLi01,10.978418516000312,54.31036124887257,20,19,1,1
ZINCj8000018TxlL,12.264867558136086,47.18942593994461,17,20,-3,3
