ligand_id,weighted_coverage_pct,native_weighted_coverage_pct,screen_rank,native_rank,rank_shift,abs_rank_shift
ZINCk700000Gfz1H,12.787092973793834,29.970825929635016,2800,1,2799,2799
ZINCk700001bQgxo,12.5040567142803,29.970825929635016,3908,2,3906,3906
ZINCk500000BlHKL,12.499960726627886,29.52958188795573,3931,3,3928,3928
ZINCj600000JWMq0,13.850884640321777,29.1482791407928,631,4,627,627
ZINCk500000gdMQW,12.702961058389594,29.1482791407928,3118,5,3113,3113
ZINCk600000EmAGZ,14.981188591652742,29.1482791407928,58,6,52,52
ZINCk5000003XjkE,12.624848345299126,29.1482791407928,3402,7,3395,3395
ZINCk800000gvPBH,12.646910387326336,29.1482791407928,3307,8,3299,3299
ZINCk600000Ja5bY,12.42223343775212,29.1482791407928,4312,9,4303,4303
ZINCk600000y8tEo,12.614313520322726,29.1482791407928,3447,10,3437,3437
ZINCk50000045enc,14.110969836753489,29.1482791407928,418,11,407,407
ZINCk5000009Gkrk,13.019283535020769,29.1482791407928,2091,12,2079,2079
ZINCk500000448Ne,13.054416254545616,29.1482791407928,1975,13,1962,1962
ZINCk5000009FEHo,13.790450174197488,29.1482791407928,704,14,690,690
ZINCk7000004fIr3,13.04203287130461,29.1482791407928,2019,15,2004,2004
ZINCj700000JVICU,12.079952176166495,29.1482791407928,4955,16,4939,4939
ZINCk6000018TA29,13.091402127109028,29.1482791407928,1867,17,1850,1850
ZINCj700000Emmu8,12.73588844294915,29.1482791407928,2983,18,2965,2965
ZINCk800000JUyax,12.944414696285524,29.085720309494693,2328,19,2309,2309
ZINCk700000JU4AJ,12.303904636516643,28.38605183437514,4749,20,4729,4729
ZINCk8000018TF12,13.345114602966945,28.30051287640492,1331,21,1310,1310
ZINCj500000d6Zss,13.105951897052616,28.30051287640492,1820,22,1798,1798
ZINCk50000047vBx,13.288848359017557,28.30051287640492,1439,23,1416,1416
ZINCk6000004bZz4,12.963995796766326,28.30051287640492,2267,24,2243,2243
ZINCk50000042V1P,12.823401536093836,27.84024032501528,2702,25,2677,2677
ZINCk700000PBZyr,12.27614504880467,27.81169756044976,4771,26,4745,4745
ZINCk50000048aEZ,13.238196718709991,27.41754535798165,1544,27,1517,1517
ZINCk5000009C4f6,14.524601601057071,27.41754535798165,199,28,171,171
ZINCk5000009AEOo,12.936141064891403,27.41754535798165,2358,29,2329,2329
ZINCk800001bPJL3,12.298046863868562,27.41754535798165,4752,30,4722,4722
ZINCk6000009JKNr,12.829822281823352,27.41754535798165,2671,31,2640,2640
ZINCk50000047Tg1,12.391542324075877,27.41754535798165,4442,32,4410,4410
ZINCj500000c9Zrw,13.39284424951808,27.41754535798165,1236,33,1203,1203
ZINCk800000EmApX,15.086027595948964,27.41754535798165,49,34,15,15
ZINCk500000dpUoE,13.691000321351003,27.41754535798165,826,35,791,791
ZINCk7000004gU4E,12.287821404761228,27.41754535798165,4761,36,4725,4725
ZINCk800000AJdPu,12.691792673990584,27.41754535798165,3156,37,3119,3119
