system,method,metric,independent,emitted,absolute_difference
glp1r,full_cascade,roc_auc,0.7531666666666665,0.7531666666666667,1.1102230246251565e-16
glp1r,full_cascade,pr_auc,0.3634136567058649,0.3634136567058649,0.0
glp1r,full_cascade,ef_1pct,23.249999999999996,23.25,3.552713678800501e-15
glp1r,full_cascade,ef_5pct,7.926136363636363,7.926136363636363,0.0
glp1r,full_cascade,bedroc,0.48005887635648936,0.480058876356489,3.885780586188048e-16
glp1r,full_cascade,top10_recovery,4.012987012987013,4.012987012987013,0.0
glp1r,full_cascade,top25_recovery,4.207792207792208,4.207792207792208,0.0
glp1r,native_only,roc_auc,0.7578333333333334,0.7578333333333334,0.0
glp1r,native_only,pr_auc,0.36113751987970344,0.3611375198797034,5.551115123125783e-17
glp1r,native_only,ef_1pct,23.249999999999996,23.25,3.552713678800501e-15
glp1r,native_only,ef_5pct,7.892763157894736,7.892763157894736,0.0
glp1r,native_only,bedroc,0.47681518575476795,0.4768151857547676,3.3306690738754696e-16
glp1r,native_only,top10_recovery,4.010526315789473,4.010526315789473,0.0
glp1r,native_only,top25_recovery,4.168421052631579,4.168421052631578,8.881784197001252e-16
glp1r,stage3_only,roc_auc,0.7268333333333333,0.7268333333333333,0.0
glp1r,stage3_only,pr_auc,0.28387033776986986,0.2838703377698698,5.551115123125783e-17
glp1r,stage3_only,ef_1pct,15.5,15.5,0.0
glp1r,stage3_only,ef_5pct,5.8125,5.8125,0.0
glp1r,stage3_only,bedroc,0.35740379968949587,0.3574037996894956,2.7755575615628914e-16
glp1r,stage3_only,top10_recovery,3.0,3.0,0.0
glp1r,stage3_only,top25_recovery,3.0,3.0,0.0
glp1r,standard_3d_pharmacophore,roc_auc,0.717,0.717,0.0
glp1r,standard_3d_pharmacophore,pr_auc,0.25883746767997756,0.2588374676799775,5.551115123125783e-17
glp1r,standard_3d_pharmacophore,ef_1pct,15.5,15.5,0.0
glp1r,standard_3d_pharmacophore,ef_5pct,3.875,3.875,0.0
glp1r,standard_3d_pharmacophore,bedroc,0.3002438799308358,0.3002438799308356,1.6653345369377348e-16
glp1r,standard_3d_pharmacophore,top10_recovery,2.0,2.0,0.0
glp1r,standard_3d_pharmacophore,top25_recovery,3.0,3.0,0.0
ghsr,full_cascade,roc_auc,0.86738,0.86738,0.0
ghsr,full_cascade,pr_auc,0.6103261632776666,0.6103261632776665,1.1102230246251565e-16
ghsr,full_cascade,ef_1pct,31.0,31.0,0.0
ghsr,full_cascade,ef_5pct,14.307692307692305,14.307692307692308,3.552713678800501e-15
ghsr,full_cascade,bedroc,0.7395181695584506,0.7395181695584501,5.551115123125783e-16
ghsr,full_cascade,top10_recovery,10.0,10.0,0.0
ghsr,full_cascade,top25_recovery,23.347826086956523,23.347826086956523,0.0
ghsr,native_only,roc_auc,0.9264333333333333,0.9264333333333332,1.1102230246251565e-16
ghsr,native_only,pr_auc,0.6797484314906436,0.6797484314906435,1.1102230246251565e-16
ghsr,native_only,ef_1pct,31.0,31.0,0.0
ghsr,native_only,ef_5pct,13.175063488162545,13.17506348816253,1.4210854715202004e-14
ghsr,native_only,bedroc,0.7479897945496938,0.747989794549693,7.771561172376096e-16
ghsr,native_only,top10_recovery,10.0,10.0,0.0
ghsr,native_only,top25_recovery,25.0,25.0,0.0
ghsr,stage3_only,roc_auc,0.85176,0.85176,0.0
ghsr,stage3_only,pr_auc,0.4075232741829719,0.4075232741829718,1.1102230246251565e-16
ghsr,stage3_only,ef_1pct,19.375,19.375,0.0
ghsr,stage3_only,ef_5pct,10.73076923076923,10.73076923076923,0.0
ghsr,stage3_only,bedroc,0.5888548579999188,0.5888548579999184,3.3306690738754696e-16
ghsr,stage3_only,top10_recovery,6.0,6.0,0.0
ghsr,stage3_only,top25_recovery,14.0,14.000000000000002,1.7763568394002505e-15
ghsr,standard_3d_pharmacophore,roc_auc,0.7939200000000001,0.79392,1.1102230246251565e-16
ghsr,standard_3d_pharmacophore,pr_auc,0.23100500690341322,0.2310050069034132,2.7755575615628914e-17
ghsr,standard_3d_pharmacophore,ef_1pct,15.5,15.5,0.0
ghsr,standard_3d_pharmacophore,ef_5pct,5.564102564102565,5.564102564102565,0.0
ghsr,standard_3d_pharmacophore,bedroc,0.36351499439197316,0.3635149943919728,3.3306690738754696e-16
ghsr,standard_3d_pharmacophore,top10_recovery,5.0,5.0,0.0
ghsr,standard_3d_pharmacophore,top25_recovery,8.0,8.0,0.0
ntsr1,full_cascade,roc_auc,0.7851066666666666,0.7851066666666666,0.0
ntsr1,full_cascade,pr_auc,0.38976227895760857,0.3897622789576085,5.551115123125783e-17
ntsr1,full_cascade,ef_1pct,25.1875,25.1875,0.0
ntsr1,full_cascade,ef_5pct,9.093625029404848,9.093625029404846,1.7763568394002505e-15
ntsr1,full_cascade,bedroc,0.5607568857153762,0.5607568857153755,6.661338147750939e-16
ntsr1,full_cascade,top10_recovery,8.200000000000001,8.199999999999994,7.105427357601002e-15
ntsr1,full_cascade,top25_recovery,17.400000000000002,17.4,3.552713678800501e-15
ntsr1,native_only,roc_auc,0.6896066666666666,0.6896066666666667,1.1102230246251565e-16
ntsr1,native_only,pr_auc,0.12664795509992094,0.1266479550999209,2.7755575615628914e-17
ntsr1,native_only,ef_1pct,8.221283783783784,8.221283783783784,0.0
ntsr1,native_only,ef_5pct,6.76776556776557,6.767765567765567,3.552713678800501e-15
ntsr1,native_only,bedroc,0.3124159263660659,0.3124159263660657,2.220446049250313e-16
ntsr1,native_only,top10_recovery,2.945945945945946,2.945945945945945,8.881784197001252e-16
ntsr1,native_only,top25_recovery,6.1891891891891895,6.1891891891891895,0.0
ntsr1,stage3_only,roc_auc,0.77814,0.77814,0.0
ntsr1,stage3_only,pr_auc,0.3618623820528234,0.3618623820528233,1.1102230246251565e-16
ntsr1,stage3_only,ef_1pct,19.375,19.375,0.0
ntsr1,stage3_only,ef_5pct,8.743589743589743,8.743589743589743,0.0
ntsr1,stage3_only,bedroc,0.5252491968231722,0.5252491968231717,4.440892098500626e-16
ntsr1,stage3_only,top10_recovery,8.0,8.0,0.0
ntsr1,stage3_only,top25_recovery,14.0,14.000000000000002,1.7763568394002505e-15
ntsr1,standard_3d_pharmacophore,roc_auc,0.5595466666666666,0.5595466666666666,0.0
ntsr1,standard_3d_pharmacophore,pr_auc,0.14222305758164572,0.1422230575816457,2.7755575615628914e-17
ntsr1,standard_3d_pharmacophore,ef_1pct,13.562500000000002,13.562500000000002,0.0
ntsr1,standard_3d_pharmacophore,ef_5pct,3.9743589743589745,3.9743589743589753,8.881784197001252e-16
ntsr1,standard_3d_pharmacophore,bedroc,0.2500008308931844,0.2500008308931842,2.220446049250313e-16
ntsr1,standard_3d_pharmacophore,top10_recovery,5.0,5.0,0.0
ntsr1,standard_3d_pharmacophore,top25_recovery,8.0,8.0,0.0
mdm2,full_cascade,roc_auc,0.9449266666666667,0.9449266666666668,1.1102230246251565e-16
mdm2,full_cascade,pr_auc,0.7051065455235792,0.7051065455235792,0.0
mdm2,full_cascade,ef_1pct,31.0,31.0,0.0
mdm2,full_cascade,ef_5pct,14.322522005357829,14.322522005357824,5.329070518200751e-15
mdm2,full_cascade,bedroc,0.8204644103631168,0.820464410363116,7.771561172376096e-16
mdm2,full_cascade,top10_recovery,10.0,10.0,0.0
mdm2,full_cascade,top25_recovery,24.666666666666668,24.666666666666664,3.552713678800501e-15
mdm2,native_only,roc_auc,0.9449266666666667,0.9449266666666668,1.1102230246251565e-16
mdm2,native_only,pr_auc,0.7051065455235792,0.7051065455235792,0.0
mdm2,native_only,ef_1pct,31.0,31.0,0.0
mdm2,native_only,ef_5pct,14.322522005357829,14.322522005357824,5.329070518200751e-15
mdm2,native_only,bedroc,0.8204644103631168,0.820464410363116,7.771561172376096e-16
mdm2,native_only,top10_recovery,10.0,10.0,0.0
mdm2,native_only,top25_recovery,24.666666666666668,24.666666666666664,3.552713678800501e-15
mdm2,stage3_only,roc_auc,0.33884,0.33884,0.0
mdm2,stage3_only,pr_auc,0.023326757985231115,0.0233267579852311,1.3877787807814457e-17
mdm2,stage3_only,ef_1pct,0.0,0.0,0.0
mdm2,stage3_only,ef_5pct,0.3974358974358974,0.3974358974358974,0.0
mdm2,stage3_only,bedroc,0.028296791723612352,0.0282967917236123,5.204170427930421e-17
mdm2,stage3_only,top10_recovery,0.0,0.0,0.0
mdm2,stage3_only,top25_recovery,0.0,0.0,0.0
mdm2,standard_3d_pharmacophore,roc_auc,0.33884,0.33884,0.0
mdm2,standard_3d_pharmacophore,pr_auc,0.023326757985231115,0.0233267579852311,1.3877787807814457e-17
mdm2,standard_3d_pharmacophore,ef_1pct,0.0,0.0,0.0
mdm2,standard_3d_pharmacophore,ef_5pct,0.3974358974358974,0.3974358974358974,0.0
mdm2,standard_3d_pharmacophore,bedroc,0.028296791723612352,0.0282967917236123,5.204170427930421e-17
mdm2,standard_3d_pharmacophore,top10_recovery,0.0,0.0,0.0
mdm2,standard_3d_pharmacophore,top25_recovery,0.0,0.0,0.0
