system,ligand_id,label,property_gate_pass,chemistry_flagged,pains_alert,reactive_flags,stage0_pass,independent_reference_agrees
glp1r,CHEMBL398714,active,True,0,,,True,True
glp1r,CHEMBL6027640,active,True,0,,,True,True
glp1r,CHEMBL250112,active,True,0,,,True,True
glp1r,CHEMBL399841,active,True,0,,,True,True
glp1r,CHEMBL251760,active,True,0,,,True,True
glp1r,CHEMBL400700,active,True,0,,,True,True
glp1r,CHEMBL401183,active,True,0,,,True,True
glp1r,CHEMBL250748,active,True,0,,,True,True
glp1r,CHEMBL248912,active,True,0,,,True,True
glp1r,CHEMBL400500,active,True,0,,,True,True
glp1r,ZINCf5000000awrm,decoy,True,0,,,True,True
glp1r,ZINCf5000000axTO,decoy,True,0,,,True,True
glp1r,ZINCf50000035vTs,decoy,True,0,,,True,True
glp1r,ZINCf50000009pVD,decoy,True,0,,,True,True
glp1r,ZINCf5000002Obml,decoy,True,0,,,True,True
glp1r,ZINCf50000009qFA,decoy,True,0,,,True,True
glp1r,ZINCf5000000aavy,decoy,True,0,,,True,True
glp1r,ZINCf5000002rVlZ,decoy,True,0,,,True,True
glp1r,ZINCf5000001sFyK,decoy,True,0,,,True,True
glp1r,ZINCf50000031AOO,decoy,True,0,,,True,True
glp1r,ZINCf5000000albx,decoy,True,0,,,True,True
glp1r,ZINCf50000009q0n,decoy,True,0,,,True,True
glp1r,ZINCf50000035sCb,decoy,True,0,,,True,True
glp1r,ZINCf5000003qilw,decoy,True,0,,,True,True
glp1r,ZINCf5000003oxhc,decoy,True,0,,,True,True
glp1r,ZINCf5000000a9iI,decoy,True,0,,,True,True
glp1r,ZINCf50000028JCs,decoy,True,0,,,True,True
glp1r,ZINCf5000002Kthm,decoy,True,0,,,True,True
glp1r,ZINCf5000002armR,decoy,True,0,,,True,True
glp1r,ZINCf50000036dEu,decoy,True,0,,,True,True
glp1r,ZINCf50000025kLm,decoy,True,0,,,True,True
glp1r,ZINCf5000003pRk9,decoy,True,0,,,True,True
glp1r,ZINCf5000002NECb,decoy,True,0,,,True,True
glp1r,ZINCf50000009qd2,decoy,True,0,,,True,True
glp1r,ZINCf5000003pmFm,decoy,True,0,,,True,True
glp1r,ZINCf50000034od3,decoy,True,0,,,True,True
glp1r,ZINCf5000002dY7J,decoy,True,0,,,True,True
glp1r,ZINCf5000000YaTM,decoy,True,0,,,True,True
glp1r,ZINCf5000002mBmF,decoy,True,0,,,True,True
glp1r,ZINCf5000000ay0U,decoy,True,0,,,True,True
glp1r,ZINCf50000024Iwn,decoy,True,0,,,True,True
glp1r,ZINCf5000000YbHL,decoy,True,0,,,True,True
glp1r,ZINCf500000098P6,decoy,True,0,,,True,True
glp1r,ZINCf500000366TN,decoy,True,0,,,True,True
glp1r,ZINCf5000000a5Jm,decoy,True,0,,,True,True
glp1r,ZINCf5000002aUmK,decoy,True,0,,,True,True
glp1r,ZINCf5000001HsM3,decoy,True,0,,,True,True
glp1r,ZINCf50000017Blc,decoy,True,0,,,True,True
glp1r,ZINCf500000204MX,decoy,True,0,,,True,True
glp1r,ZINCf50000031CUy,decoy,True,0,,,True,True
glp1r,ZINCf50000029dyD,decoy,True,0,,,True,True
glp1r,ZINCf5000000YbHM,decoy,True,0,,,True,True
glp1r,ZINCf5000002ecOQ,decoy,True,1,,michael_acceptor,True,True
glp1r,ZINCf5000002JlXX,decoy,True,0,,,True,True
glp1r,ZINCf50000009FDs,decoy,True,0,,,True,True
glp1r,ZINCf50000031CB9,decoy,True,0,,,True,True
glp1r,ZINCf5000002a7LK,decoy,True,0,,,True,True
glp1r,ZINCf5000002rPDX,decoy,True,0,,,True,True
glp1r,ZINCf50000020YBn,decoy,True,0,,,True,True
glp1r,ZINCf5000002OuYO,decoy,True,0,,,True,True
glp1r,ZINCf5000002mEQg,decoy,True,0,,,True,True
glp1r,ZINCf5000001YIUb,decoy,True,0,,,True,True
glp1r,ZINCf5000000ay0Z,decoy,True,0,,,True,True
glp1r,ZINCf5000003qioq,decoy,True,0,,,True,True
glp1r,ZINCf5000003mWDV,decoy,True,0,,,True,True
glp1r,ZINCf5000000ahoM,decoy,True,0,,,True,True
glp1r,ZINCf50000009sUT,decoy,True,0,,,True,True
glp1r,ZINCf50000035qqt,decoy,True,0,,,True,True
glp1r,ZINCf5000001ARZW,decoy,True,0,,,True,True
glp1r,ZINCf5000003qe8D,decoy,True,0,,,True,True
glp1r,ZINCf50000024Urz,decoy,True,0,,,True,True
glp1r,ZINCf5000003pweX,decoy,True,0,,,True,True
glp1r,ZINCf50000024Fgs,decoy,True,0,,,True,True
glp1r,ZINCf50000009qFF,decoy,True,0,,,True,True
glp1r,ZINCf5000002rwR8,decoy,True,0,,,True,True
glp1r,ZINCf500000362jS,decoy,True,0,,,True,True
glp1r,ZINCf5000003696S,decoy,True,0,,,True,True
glp1r,ZINCf50000035cF8,decoy,True,0,,,True,True
glp1r,ZINCf5000002Kqsj,decoy,True,0,,,True,True
glp1r,ZINCf5000003638i,decoy,True,0,,,True,True
glp1r,ZINCf50000024Rar,decoy,True,0,,,True,True
glp1r,ZINCf50000017I9f,decoy,True,0,,,True,True
glp1r,ZINCf5000000abK0,decoy,True,0,,,True,True
glp1r,ZINCf50000009qFH,decoy,True,0,,,True,True
glp1r,ZINCf5000002OfyI,decoy,True,0,,,True,True
glp1r,ZINCf5000000apGz,decoy,True,0,,,True,True
glp1r,ZINCf50000009gM7,decoy,True,0,,,True,True
glp1r,ZINCf50000009Gcz,decoy,True,0,,,True,True
glp1r,ZINCf50000031ALq,decoy,True,0,,,True,True
glp1r,ZINCf50000008Jbx,decoy,True,1,imine_one_A(321),,True,True
glp1r,ZINCf5000002oHuY,decoy,True,0,,,True,True
glp1r,ZINCf500000362nP,decoy,True,0,,,True,True
glp1r,ZINCf5000000ZwPT,decoy,True,0,,,True,True
glp1r,ZINCf50000009GcH,decoy,True,0,,,True,True
glp1r,ZINCf5000003oCXf,decoy,True,0,,,True,True
glp1r,ZINCf5000002KvYL,decoy,True,0,,,True,True
glp1r,ZINCf50000009gM9,decoy,True,0,,,True,True
glp1r,ZINCf50000035L8C,decoy,True,0,,,True,True
glp1r,ZINCf50000009GcB,decoy,True,0,,,True,True
glp1r,ZINCf5000003qwEW,decoy,True,0,,,True,True
glp1r,ZINCf5000002svaB,decoy,True,0,,,True,True
glp1r,ZINCf5000002dUUq,decoy,True,0,,,True,True
glp1r,ZINCf5000000apFY,decoy,True,0,,,True,True
glp1r,ZINCf50000009Gcn,decoy,True,0,,,True,True
glp1r,ZINCf5000003oDS5,decoy,True,0,,,True,True
glp1r,ZINCf5000000a9AP,decoy,True,0,,,True,True
glp1r,ZINCf50000009ikJ,decoy,True,0,,,True,True
glp1r,ZINCf5000003nfeg,decoy,True,0,,,True,True
glp1r,ZINCf50000009aGz,decoy,True,0,,,True,True
glp1r,ZINCf50000036aZV,decoy,True,0,,,True,True
glp1r,ZINCf5000002aWhk,decoy,True,0,,,True,True
glp1r,ZINCf50000035Wyq,decoy,True,0,,,True,True
glp1r,ZINCf5000001xLRs,decoy,True,0,,,True,True
glp1r,ZINCf50000009aLd,decoy,True,0,,,True,True
glp1r,ZINCf5000003oDS6,decoy,True,0,,,True,True
glp1r,ZINCf5000001osMH,decoy,True,1,azo_A(324),,True,True
glp1r,ZINCf50000035tY0,decoy,True,0,,,True,True
glp1r,ZINCf500000092rn,decoy,True,0,,,True,True
glp1r,ZINCf5000001DiJe,decoy,True,0,,,True,True
glp1r,ZINCf5000000at3L,decoy,True,0,,,True,True
glp1r,ZINCf5000002aWhm,decoy,True,0,,,True,True
glp1r,ZINCf50000036feX,decoy,True,0,,,True,True
glp1r,ZINCf50000028jVR,decoy,True,0,,,True,True
glp1r,ZINCf50000009aQK,decoy,True,0,,,True,True
glp1r,ZINCf5000002OfyG,decoy,True,0,,,True,True
glp1r,ZINCf5000000alOw,decoy,True,0,,,True,True
glp1r,ZINCf5000001wb0h,decoy,True,0,,,True,True
glp1r,ZINCf50000035280,decoy,True,0,,,True,True
glp1r,ZINCf50000034xs1,decoy,True,0,,,True,True
glp1r,ZINCf50000035wGO,decoy,True,0,,,True,True
glp1r,ZINCf5000000acd3,decoy,True,0,,,True,True
glp1r,ZINCf50000009wyg,decoy,True,0,,,True,True
glp1r,ZINCf500000264ro,decoy,True,0,,,True,True
glp1r,ZINCf5000000YbPh,decoy,True,0,,,True,True
glp1r,ZINCf5000000aakf,decoy,True,0,,,True,True
glp1r,ZINCf5000000ZvLs,decoy,True,0,,,True,True
glp1r,ZINCf5000002rQJB,decoy,True,0,,,True,True
glp1r,ZINCf50000008AoT,decoy,True,0,,,True,True
glp1r,ZINCf50000009rWL,decoy,True,0,,,True,True
glp1r,ZINCf50000025tBQ,decoy,True,0,,,True,True
glp1r,ZINCf5000002aOc2,decoy,True,0,,,True,True
glp1r,ZINCf5000000alxZ,decoy,True,0,,,True,True
glp1r,ZINCf5000002sGi6,decoy,True,0,,,True,True
glp1r,ZINCf5000000atW6,decoy,True,0,,,True,True
glp1r,ZINCf50000035L6E,decoy,True,0,,,True,True
glp1r,ZINCf50000034qZB,decoy,True,0,,,True,True
glp1r,ZINCf5000003qnGH,decoy,True,0,,,True,True
glp1r,ZINCf50000008Lan,decoy,True,0,,,True,True
glp1r,ZINCf50000009FSL,decoy,True,0,,,True,True
glp1r,ZINCf5000000SKPV,decoy,True,0,,,True,True
glp1r,ZINCf5000002aOc3,decoy,True,0,,,True,True
glp1r,ZINCf5000002segg,decoy,True,0,,,True,True
glp1r,ZINCf50000008ExI,decoy,True,0,,,True,True
glp1r,ZINCf50000036e86,decoy,True,0,,,True,True
glp1r,ZINCf50000017I5A,decoy,True,0,,,True,True
glp1r,ZINCf5000000Ybcw,decoy,True,0,,,True,True
glp1r,ZINCf50000009hXl,decoy,True,0,,,True,True
glp1r,ZINCf5000000YaUz,decoy,True,0,,,True,True
glp1r,ZINCf5000001qm5O,decoy,True,0,,,True,True
glp1r,ZINCf500000292mg,decoy,True,0,,,True,True
glp1r,ZINCf50000008Dod,decoy,True,0,,,True,True
glp1r,ZINCf5000000Ybib,decoy,True,0,,,True,True
glp1r,ZINCf5000002dYoa,decoy,True,0,,,True,True
glp1r,ZINCf50000017DqO,decoy,True,0,,,True,True
glp1r,ZINCf5000001QAPO,decoy,True,0,,,True,True
glp1r,ZINCf5000000abZq,decoy,True,0,,,True,True
glp1r,ZINCf5000000YaZN,decoy,True,0,,,True,True
glp1r,ZINCf5000003oBjq,decoy,True,0,,,True,True
glp1r,ZINCf5000001818l,decoy,True,0,,,True,True
glp1r,ZINCf5000002Kvbl,decoy,True,0,,,True,True
glp1r,ZINCf50000036fBS,decoy,True,0,,,True,True
glp1r,ZINCf5000000alxC,decoy,True,0,,,True,True
glp1r,ZINCf5000002dYpi,decoy,True,0,,,True,True
glp1r,ZINCf5000001onov,decoy,True,0,,,True,True
glp1r,ZINCf5000002rPQy,decoy,True,0,,,True,True
