ligand_id,engine_status,ref_stage0_pass,ref_stage1_gate_pass
CHEMBL398714,hotspot_filtered,True,False
CHEMBL6027640,candidate,True,True
CHEMBL250112,candidate,True,True
CHEMBL399841,candidate,True,True
CHEMBL251760,candidate,True,True
CHEMBL400700,candidate,True,True
CHEMBL401183,candidate,True,True
CHEMBL250748,candidate,True,True
CHEMBL248912,candidate,True,True
CHEMBL400500,candidate,True,True
ZINCf5000000awrm,hotspot_filtered,True,False
ZINCf5000000axTO,candidate,True,True
ZINCf50000035vTs,candidate,True,True
ZINCf50000009pVD,candidate,True,True
ZINCf5000002Obml,candidate,True,True
ZINCf50000009qFA,candidate,True,True
ZINCf5000000aavy,candidate,True,True
ZINCf5000002rVlZ,candidate,True,True
ZINCf5000001sFyK,candidate,True,True
ZINCf50000031AOO,hotspot_filtered,True,False
ZINCf5000000albx,candidate,True,True
ZINCf50000009q0n,candidate,True,True
ZINCf50000035sCb,candidate,True,True
ZINCf5000003qilw,candidate,True,True
ZINCf5000003oxhc,candidate,True,True
ZINCf5000000a9iI,hotspot_filtered,True,False
ZINCf50000028JCs,candidate,True,True
ZINCf5000002Kthm,candidate,True,True
ZINCf5000002armR,candidate,True,True
ZINCf50000036dEu,candidate,True,True
ZINCf50000025kLm,candidate,True,True
ZINCf5000003pRk9,candidate,True,True
ZINCf5000002NECb,candidate,True,True
ZINCf50000009qd2,candidate,True,True
ZINCf5000003pmFm,candidate,True,True
ZINCf50000034od3,hotspot_filtered,True,False
ZINCf5000002dY7J,candidate,True,True
ZINCf5000000YaTM,candidate,True,True
ZINCf5000002mBmF,candidate,True,True
ZINCf5000000ay0U,hotspot_filtered,True,False
ZINCf50000024Iwn,hotspot_filtered,True,False
ZINCf5000000YbHL,candidate,True,True
ZINCf500000098P6,candidate,True,True
ZINCf500000366TN,candidate,True,True
ZINCf5000000a5Jm,candidate,True,True
ZINCf5000002aUmK,hotspot_filtered,True,False
ZINCf5000001HsM3,candidate,True,True
ZINCf50000017Blc,candidate,True,True
ZINCf500000204MX,candidate,True,True
ZINCf50000031CUy,hotspot_filtered,True,False
ZINCf50000029dyD,candidate,True,True
ZINCf5000000YbHM,candidate,True,True
ZINCf5000002ecOQ,warn_only_flagged,True,True
ZINCf5000002JlXX,hotspot_filtered,True,False
ZINCf50000009FDs,candidate,True,True
ZINCf50000031CB9,hotspot_filtered,True,False
ZINCf5000002a7LK,candidate,True,True
ZINCf5000002rPDX,candidate,True,True
ZINCf50000020YBn,candidate,True,True
ZINCf5000002OuYO,hotspot_filtered,True,False
ZINCf5000002mEQg,candidate,True,True
ZINCf5000001YIUb,candidate,True,True
ZINCf5000000ay0Z,hotspot_filtered,True,False
ZINCf5000003qioq,candidate,True,True
ZINCf5000003mWDV,candidate,True,True
ZINCf5000000ahoM,hotspot_filtered,True,False
ZINCf50000009sUT,candidate,True,True
ZINCf50000035qqt,candidate,True,True
ZINCf5000001ARZW,candidate,True,True
ZINCf5000003qe8D,hotspot_filtered,True,False
ZINCf50000024Urz,candidate,True,True
ZINCf5000003pweX,candidate,True,True
ZINCf50000024Fgs,hotspot_filtered,True,False
ZINCf50000009qFF,candidate,True,True
ZINCf5000002rwR8,candidate,True,True
ZINCf500000362jS,hotspot_filtered,True,False
ZINCf5000003696S,candidate,True,True
ZINCf50000035cF8,candidate,True,True
ZINCf5000002Kqsj,hotspot_filtered,True,False
ZINCf5000003638i,hotspot_filtered,True,False
ZINCf50000024Rar,candidate,True,True
ZINCf50000017I9f,candidate,True,True
ZINCf5000000abK0,candidate,True,True
ZINCf50000009qFH,candidate,True,True
ZINCf5000002OfyI,candidate,True,True
ZINCf5000000apGz,hotspot_filtered,True,False
ZINCf50000009gM7,candidate,True,True
ZINCf50000009Gcz,candidate,True,True
ZINCf50000031ALq,candidate,True,True
ZINCf50000008Jbx,hotspot_filtered,True,False
ZINCf5000002oHuY,hotspot_filtered,True,False
ZINCf500000362nP,candidate,True,True
ZINCf5000000ZwPT,candidate,True,True
ZINCf50000009GcH,hotspot_filtered,True,False
ZINCf5000003oCXf,candidate,True,True
ZINCf5000002KvYL,hotspot_filtered,True,False
ZINCf50000009gM9,candidate,True,True
ZINCf50000035L8C,candidate,True,True
ZINCf50000009GcB,candidate,True,True
ZINCf5000003qwEW,candidate,True,True
ZINCf5000002svaB,hotspot_filtered,True,False
ZINCf5000002dUUq,candidate,True,True
ZINCf5000000apFY,hotspot_filtered,True,False
ZINCf50000009Gcn,hotspot_filtered,True,False
ZINCf5000003oDS5,candidate,True,True
ZINCf5000000a9AP,hotspot_filtered,True,False
ZINCf50000009ikJ,candidate,True,True
ZINCf5000003nfeg,candidate,True,True
ZINCf50000009aGz,candidate,True,True
ZINCf50000036aZV,candidate,True,True
ZINCf5000002aWhk,candidate,True,True
ZINCf50000035Wyq,candidate,True,True
ZINCf5000001xLRs,candidate,True,True
ZINCf50000009aLd,candidate,True,True
ZINCf5000003oDS6,candidate,True,True
