system,ligand_id,smiles,policy,stage_lost,reason_class,reason_detail,structural_alerts,stage0_pass,final_ranked
GLP-1R,CHEMBL398714,CC(C)(C)Nc1nc2cc(Cl)c(Cl)cc2nc1S(C)(=O)=O,5% + floor1000; alerts non-excluding,Stage 1,hotspot gate,required hotspot matches or contact groups not met,,True,False
GLP-1R,CHEMBL6027640,Cn1c(CN2CCC(c3cccc(OCc4ccc(C#N)cc4)n3)CC2)nc2ccc(C(=O)O)cc21,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GLP-1R,CHEMBL250112,CS(=O)(=O)c1nc2cc(Cl)c(Cl)cc2nc1NC1CCCc2ccccc21,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GLP-1R,CHEMBL399841,Cc1nnc(S(=O)(=O)c2nc3cc(Cl)c(Cl)cc3nc2C(C)C)s1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GLP-1R,CHEMBL251760,CC(C)c1nc2cc(Cl)c(Cl)cc2nc1S(=O)(=O)Cc1ccc(S(C)(=O)=O)cc1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GLP-1R,CHEMBL400700,CS(=O)(=O)c1nc2cc(Cl)c(Cl)cc2nc1NC1CCS(=O)(=O)C1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GLP-1R,CHEMBL401183,CS(=O)(=O)c1nc2cc(Cl)c(Cl)cc2nc1N1CCCC1,5% + floor1000; alerts non-excluding,Shortlist,below shortlist cut,"outside the 5% shortlist with a minimum of 1,000 eligible candidates",,True,False
GLP-1R,CHEMBL250748,CC(C)c1nc2cc(Cl)c(Cl)cc2nc1S(=O)(=O)CCC1OCCO1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GLP-1R,CHEMBL248912,Cc1nnc([S+]([O-])c2nc3cc(Cl)c(Cl)cc3nc2C(C)C)s1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GLP-1R,CHEMBL400500,CS(=O)(=O)c1nc2cc(Cl)c(Cl)cc2nc1N1CCC(=O)N1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL480821,Cc1ccc(-c2ccc(S(=O)(=O)N3CCCC[C@H]3C(=O)N3CC[C@@H](N)C3)cc2F)o1,5% + floor1000; alerts non-excluding,Stage 1,hotspot gate,required hotspot matches or contact groups not met,,True,False
GHSR,CHEMBL4172656,Cc1ccc2[nH]c(C(=O)N[C@H]3Cc4ccccc4[C@@H]3C(=O)N[C@H]3CCCN(C)C3)cc2c1,5% + floor1000; alerts non-excluding,Stage 1,hotspot gate,required hotspot matches or contact groups not met,,True,False
GHSR,CHEMBL251572,COc1cc2c(cc1N1C[C@@H](C)N[C@@H](C)C1)N(S(=O)(=O)c1ccc(-c3ccccn3)s1)CC2,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL401134,COc1cc2c(cc1N1C[C@@H](C)N[C@@H](C)C1)N(S(=O)(=O)c1ccc(-c3ccccn3)cc1)CC2,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL518774,Cc1ccc(-c2ccc(S(=O)(=O)N3CC[C@H](O)[C@H]3C(=O)N3CC[C@@H](N)C3)cc2F)o1,5% + floor1000; alerts non-excluding,Stage 1,hotspot gate,required hotspot matches or contact groups not met,,True,False
GHSR,CHEMBL259166,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCCC(=O)NCCSCCO,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL460680,CC(C)(N)C(=O)N[C@H](CCC(F)(F)c1ccccc1)c1nnnn1CCOC(=O)NCCCCO,5% + floor1000; alerts non-excluding,Stage 1,hotspot gate,required hotspot matches or contact groups not met,,True,False
GHSR,CHEMBL270666,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1[C@H](CC#N)COc1ccccc1O,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL482220,N[C@@H]1CCN(C(=O)[C@@H]2CCCCN2S(=O)(=O)c2ccc(-c3cc(Cl)ccc3Cl)cc2)C1,5% + floor1000; alerts non-excluding,Stage 1,hotspot gate,required hotspot matches or contact groups not met,,True,False
GHSR,CHEMBL2364468,COc1ccc(N2C[C@@H](C)N[C@@H](C)C2)cc1NS(=O)(=O)c1ccc(-c2ccc(C)o2)cc1Cl,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,PAINS:anil_di_alk_C(246),True,True
GHSR,CHEMBL260819,COc1ccc(F)c(-c2ccc(S(=O)(=O)Nc3cc(N4C[C@@H](C)N[C@@H](C)C4)ccc3OC)cc2)c1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,PAINS:anil_di_alk_C(246),True,True
GHSR,CHEMBL271876,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1[C@H](CC#N)COc1ccccn1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL404336,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1C(/C=C/c1ccccc1)CC#N,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL251169,COc1cc2c(cc1N1C[C@@H](C)N[C@@H](C)C1)N(S(=O)(=O)c1ccc3ccccc3c1)CC2,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL2364429,COc1ccc(N2C[C@@H](C)N[C@@H](C)C2)cc1NS(=O)(=O)c1ccc(-c2cc(C)cs2)cc1F,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,PAINS:anil_di_alk_C(246),True,True
GHSR,CHEMBL1161835,CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC2(CC1)C[C@@H](O)c1ccccc12,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL2364354,COc1ccc(NS(=O)(=O)c2ccc(-c3cccc(C)n3)s2)cc1N1C[C@@H](C)N[C@@H](C)C1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL410135,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCNC(=O)CCc1cccc(O)c1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL379074,CNC(C)(C)C/C=C/C(=O)N(C)[C@H](Cc1ccc2ccccc2c1)C(=O)N(C)CCc1cccs1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,reactive:michael_acceptor,True,True
GHSR,CHEMBL4637980,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)c4ccccc4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL2364408,COc1ccc(NS(=O)(=O)c2ccc(-c3cc(C)cs3)s2)cc1N1C[C@@H](C)N[C@@H](C)C1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL403180,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1C(CC#N)CCc1ccccc1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL1923504,CCC[C@@H]1NCCOc2ccccc2CCCNC(=O)[C@@H](Cc2ccccc2)NC(=O)CN(C)C1=O,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL4645148,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)c4cccnc4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL2364338,Cc1ccc(-c2ccc(S(=O)(=O)Nc3cccc(N4C[C@@H](C)N[C@@H](C)C4)n3)cc2F)o1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL2364382,COc1ccc(NS(=O)(=O)c2ccc(-c3ccccc3)s2)cc1N1C[C@@H](C)N[C@@H](C)C1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
GHSR,CHEMBL1161828,CC(C)(N)C(=O)N[C@H](CCCc1ccccc1)C(=O)N1CCC2(CC1)CS(=O)(=O)c1ccccc12,5% + floor1000; alerts non-excluding,Stage 1,hotspot gate,required hotspot matches or contact groups not met,,True,False
GHSR,CHEMBL516602,Cc1ccc(-c2ccc(S(=O)(=O)N3CCNC[C@H]3C(=O)N3CC[C@@H](N)C3)cc2)o1,5% + floor1000; alerts non-excluding,Stage 1,hotspot gate,required hotspot matches or contact groups not met,,True,False
