job,method,metric,identifier_ordered,tie_aware,correction
ghsr_seed1,full_cascade,roc_auc,0.9998533333333331,0.8899266666666666,tie handling
ghsr_seed1,full_cascade,pr_auc,0.995194597149394,0.7870967741935483,tie handling
ghsr_seed1,full_cascade,ef_1pct,32.0,31.0,tie handling plus actual-cutoff EF normalization
ghsr_seed1,full_cascade,ef_5pct,20.0,15.610018678892851,tie handling plus actual-cutoff EF normalization
ghsr_seed1,full_cascade,ef_01pct,40.0,31.0,tie handling plus actual-cutoff EF normalization
ghsr_seed1,full_cascade,top10_recovery,0.2,0.2,tie handling
ghsr_seed1,full_cascade,top25_recovery,0.5,0.5,tie handling
ghsr_seed1,full_cascade,top50_recovery,0.98,0.7814569536423841,tie handling
ghsr_seed1,full_cascade,bedroc,0.997842720334244,0.840874881062287,tie handling
ghsr_seed1,stage3_only,roc_auc,0.9996933333333332,0.8897666666666667,tie handling
ghsr_seed1,stage3_only,pr_auc,0.988167157149994,0.780069334194148,tie handling
ghsr_seed1,stage3_only,ef_1pct,32.0,31.0,tie handling plus actual-cutoff EF normalization
ghsr_seed1,stage3_only,ef_5pct,20.0,15.610018678892851,tie handling plus actual-cutoff EF normalization
ghsr_seed1,stage3_only,ef_01pct,40.0,31.0,tie handling plus actual-cutoff EF normalization
ghsr_seed1,stage3_only,top10_recovery,0.2,0.2,tie handling
ghsr_seed1,stage3_only,top25_recovery,0.5,0.5,tie handling
ghsr_seed1,stage3_only,top50_recovery,0.98,0.7814569536423841,tie handling
ghsr_seed1,stage3_only,bedroc,0.9951124353731238,0.8381445961011667,tie handling
ghsr_seed1,standard_3d_pharmacophore,roc_auc,0.9561733333333332,0.9561733333333333,tie handling
ghsr_seed1,standard_3d_pharmacophore,pr_auc,0.7223003395926682,0.7223003395926679,tie handling
ghsr_seed1,standard_3d_pharmacophore,ef_1pct,30.0,29.0625,tie handling plus actual-cutoff EF normalization
ghsr_seed1,standard_3d_pharmacophore,ef_5pct,15.2,15.102564102564102,tie handling plus actual-cutoff EF normalization
ghsr_seed1,standard_3d_pharmacophore,ef_01pct,40.0,31.0,tie handling plus actual-cutoff EF normalization
ghsr_seed1,standard_3d_pharmacophore,top10_recovery,0.2,0.2,tie handling
ghsr_seed1,standard_3d_pharmacophore,top25_recovery,0.44,0.44,tie handling
ghsr_seed1,standard_3d_pharmacophore,top50_recovery,0.68,0.68,tie handling
ghsr_seed1,standard_3d_pharmacophore,bedroc,0.8027089498805714,0.8027089498805748,tie handling
