job,method,metric,identifier_ordered,tie_aware,correction
mdm2_seed5,full_cascade,roc_auc,0.9885006693440428,0.986338688085676,tie handling
mdm2_seed5,full_cascade,pr_auc,0.9624376451666312,0.9296379398670634,tie handling
mdm2_seed5,full_cascade,ef_1pct,32.0,30.88,tie handling plus actual-cutoff EF normalization
mdm2_seed5,full_cascade,ef_5pct,19.2,18.676031215161654,tie handling plus actual-cutoff EF normalization
mdm2_seed5,full_cascade,ef_01pct,40.0,30.88,tie handling plus actual-cutoff EF normalization
mdm2_seed5,full_cascade,top10_recovery,0.2,0.2,tie handling
mdm2_seed5,full_cascade,top25_recovery,0.5,0.5,tie handling
mdm2_seed5,full_cascade,top50_recovery,0.92,0.92,tie handling
mdm2_seed5,full_cascade,bedroc,0.973792965959487,0.9623267159454079,tie handling
mdm2_seed5,stage3_only,roc_auc,0.6345649263721553,0.6345649263721553,tie handling
mdm2_seed5,stage3_only,pr_auc,0.0532506621080773,0.053250662108077315,tie handling
mdm2_seed5,stage3_only,ef_1pct,2.0,1.93,tie handling plus actual-cutoff EF normalization
mdm2_seed5,stage3_only,ef_5pct,1.2,1.1876923076923076,tie handling plus actual-cutoff EF normalization
mdm2_seed5,stage3_only,ef_01pct,0.0,0.0,tie handling plus actual-cutoff EF normalization
mdm2_seed5,stage3_only,top10_recovery,0.02,0.02,tie handling
mdm2_seed5,stage3_only,top25_recovery,0.04,0.04,tie handling
mdm2_seed5,stage3_only,top50_recovery,0.06,0.06,tie handling
mdm2_seed5,stage3_only,bedroc,0.1119565544061416,0.11195655440614234,tie handling
mdm2_seed5,standard_3d_pharmacophore,roc_auc,0.6336680053547523,0.6336680053547523,tie handling
mdm2_seed5,standard_3d_pharmacophore,pr_auc,0.0531513530515142,0.05315135305151429,tie handling
mdm2_seed5,standard_3d_pharmacophore,ef_1pct,2.0,1.93,tie handling plus actual-cutoff EF normalization
mdm2_seed5,standard_3d_pharmacophore,ef_5pct,1.2,1.1876923076923076,tie handling plus actual-cutoff EF normalization
mdm2_seed5,standard_3d_pharmacophore,ef_01pct,0.0,0.0,tie handling plus actual-cutoff EF normalization
mdm2_seed5,standard_3d_pharmacophore,top10_recovery,0.02,0.02,tie handling
mdm2_seed5,standard_3d_pharmacophore,top25_recovery,0.04,0.04,tie handling
mdm2_seed5,standard_3d_pharmacophore,top50_recovery,0.06,0.06,tie handling
mdm2_seed5,standard_3d_pharmacophore,bedroc,0.1118173853176818,0.11181738531768246,tie handling
