structure_id,state,ligand_id,final_rank,seed,best_affinity,status,returncode
6X18,active,ZINCk700000Gfz1H,1,11,-4.888,scored,0
6X18,active,ZINCk700000Gfz1H,1,29,-5.172,scored,0
6X18,active,ZINCk700000Gfz1H,1,47,-5.072,scored,0
6X18,active,ZINCk700001bQgxo,2,11,-5.141,scored,0
6X18,active,ZINCk700001bQgxo,2,29,-5.064,scored,0
6X18,active,ZINCk700001bQgxo,2,47,-5.04,scored,0
6X18,active,ZINCk500000BlHKL,3,11,-6.337,scored,0
6X18,active,ZINCk500000BlHKL,3,29,-5.398,scored,0
6X18,active,ZINCk500000BlHKL,3,47,-5.809,scored,0
6X18,active,ZINCj600000JWMq0,4,11,-6.858,scored,0
6X18,active,ZINCj600000JWMq0,4,29,-7.138,scored,0
6X18,active,ZINCj600000JWMq0,4,47,-6.928,scored,0
6X18,active,ZINCk500000gdMQW,5,11,-6.342,scored,0
6X18,active,ZINCk500000gdMQW,5,29,-5.12,scored,0
6X18,active,ZINCk500000gdMQW,5,47,-5.514,scored,0
6X18,active,ZINCk600000EmAGZ,6,11,-7.792,scored,0
6X18,active,ZINCk600000EmAGZ,6,29,-7.95,scored,0
6X18,active,ZINCk600000EmAGZ,6,47,-7.982,scored,0
6X18,active,ZINCk5000003XjkE,7,11,-6.471,scored,0
6X18,active,ZINCk5000003XjkE,7,29,-5.707,scored,0
6X18,active,ZINCk5000003XjkE,7,47,-6.129,scored,0
6X18,active,ZINCk800000gvPBH,8,11,-5.686,scored,0
6X18,active,ZINCk800000gvPBH,8,29,-6.081,scored,0
6X18,active,ZINCk800000gvPBH,8,47,-5.381,scored,0
6X18,active,ZINCk600000Ja5bY,9,11,-7.399,scored,0
6X18,active,ZINCk600000Ja5bY,9,29,-7.407,scored,0
6X18,active,ZINCk600000Ja5bY,9,47,-7.311,scored,0
6X18,active,ZINCk600000y8tEo,10,11,-6.175,scored,0
6X18,active,ZINCk600000y8tEo,10,29,-6.149,scored,0
6X18,active,ZINCk600000y8tEo,10,47,-5.887,scored,0
6LN2,inactive,ZINCk700000Gfz1H,1,11,-5.504,scored,0
6LN2,inactive,ZINCk700000Gfz1H,1,29,-5.707,scored,0
6LN2,inactive,ZINCk700000Gfz1H,1,47,-5.647,scored,0
6LN2,inactive,ZINCk700001bQgxo,2,11,-6.013,scored,0
6LN2,inactive,ZINCk700001bQgxo,2,29,-5.951,scored,0
6LN2,inactive,ZINCk700001bQgxo,2,47,-5.69,scored,0
6LN2,inactive,ZINCk500000BlHKL,3,11,-5.151,scored,0
6LN2,inactive,ZINCk500000BlHKL,3,29,-5.175,scored,0
6LN2,inactive,ZINCk500000BlHKL,3,47,-5.105,scored,0
6LN2,inactive,ZINCj600000JWMq0,4,11,-6.567,scored,0
6LN2,inactive,ZINCj600000JWMq0,4,29,-6.655,scored,0
6LN2,inactive,ZINCj600000JWMq0,4,47,-6.73,scored,0
6LN2,inactive,ZINCk500000gdMQW,5,11,-6.033,scored,0
6LN2,inactive,ZINCk500000gdMQW,5,29,-5.837,scored,0
6LN2,inactive,ZINCk500000gdMQW,5,47,-5.892,scored,0
6LN2,inactive,ZINCk600000EmAGZ,6,11,-7.251,scored,0
6LN2,inactive,ZINCk600000EmAGZ,6,29,-7.246,scored,0
6LN2,inactive,ZINCk600000EmAGZ,6,47,-7.19,scored,0
6LN2,inactive,ZINCk5000003XjkE,7,11,-5.845,scored,0
