system,shortlist_fraction,n_native_scored,n_actives_retained,active_retention,compute_reduction,n_input,n_actives_input,n_candidates
GLP-1R,0.005,142,3,0.3,213.45070422535213,30310,10,28297
GLP-1R,0.005469788234491888,155,3,0.3,195.5483870967742,30310,10,28297
GLP-1R,0.005983716666037179,170,3,0.3,178.2941176470588,30310,10,28297
GLP-1R,0.006545932603684639,186,3,0.3,162.95698924731184,30310,10,28297
GLP-1R,0.007160973027882212,203,4,0.4,149.31034482758622,30310,10,28297
GLP-1R,0.007833801203084776,222,4,0.4,136.53153153153153,30310,10,28297
GLP-1R,0.008569846730396303,243,4,0.4,124.73251028806584,30310,10,28297
GLP-1R,0.009375049363464097,266,4,0.4,113.94736842105263,30310,10,28297
GLP-1R,0.01025590694121132,291,5,0.5,104.15807560137458,30310,10,28297
GLP-1R,0.011219527824216275,318,5,0.5,95.31446540880503,30310,10,28297
GLP-1R,0.012273688257890505,348,5,0.5,87.09770114942529,30310,10,28297
GLP-1R,0.01342689512536615,380,6,0.6,79.76315789473684,30310,10,28297
GLP-1R,0.014688454596496845,416,6,0.6,72.86057692307692,30310,10,28297
GLP-1R,0.01606854722695735,455,7,0.7,66.61538461538461,30310,10,28297
GLP-1R,0.017578310113477717,498,7,0.7,60.863453815261046,30310,10,28297
GLP-1R,0.01922992676819004,545,7,0.7,55.61467889908257,30310,10,28297
GLP-1R,0.021036725437357306,596,7,0.7,50.855704697986575,30310,10,28297
GLP-1R,0.023013286657898636,652,7,0.7,46.487730061349694,30310,10,28297
GLP-1R,0.025175560919672622,713,7,0.7,42.51051893408135,30310,10,28297
GLP-1R,0.027540997383031812,780,7,0.7,38.85897435897436,30310,10,28297
GLP-1R,0.030128684690375863,853,8,0.8,35.53341148886284,30310,10,28297
GLP-1R,0.03295950500802676,933,8,0.8,32.48660235798499,30310,10,28297
GLP-1R,0.036056302541516254,1021,8,0.8,29.686581782566112,30310,10,28297
GLP-1R,0.03944406788417312,1117,8,0.8,27.135183527305283,30310,10,28297
GLP-1R,0.043150139686669885,1222,8,0.8,24.803600654664486,30310,10,28297
GLP-1R,0.04720442527496569,1336,8,0.8,22.687125748502993,30310,10,28297
GLP-1R,0.05,1415,8,0.8,21.420494699646643,30310,10,28297
GLP-1R,0.05163964199699178,1462,8,0.8,20.73187414500684,30310,10,28297
GLP-1R,0.05649158124570375,1599,8,0.8,18.955597248280174,30310,10,28297
GLP-1R,0.06179939728911861,1749,8,0.8,17.329902801600916,30310,10,28297
GLP-1R,0.06760592323814218,1914,8,0.8,15.83594566353187,30310,10,28297
GLP-1R,0.07395801670199038,2093,8,0.8,14.481605351170568,30310,10,28297
GLP-1R,0.08090693792058029,2290,8,0.8,13.235807860262009,30310,10,28297
GLP-1R,0.08850876342535115,2505,8,0.8,12.099800399201596,30310,10,28297
GLP-1R,0.09682483856668235,2740,8,0.8,11.062043795620438,30310,10,28297
GLP-1R,0.10592227255972307,2998,8,0.8,10.110073382254837,30310,10,28297
GLP-1R,0.11587448004356327,3279,8,0.8,9.243671851174138,30310,10,28297
GLP-1R,0.1267617735240295,3587,8,0.8,8.449958182325062,30310,10,28297
GLP-1R,0.1386720114810124,3925,8,0.8,7.722292993630573,30310,10,28297
GLP-1R,0.1517013073704331,4293,8,0.8,7.060330771022595,30310,10,28297
GLP-1R,0.16595480524236655,4697,8,0.8,6.453055141579732,30310,10,28297
GLP-1R,0.1815475282344179,5138,8,0.8,5.899182561307902,30310,10,28297
GLP-1R,0.19860530678754051,5620,8,0.8,5.393238434163701,30310,10,28297
GLP-1R,0.21726579407482824,6148,8,0.8,4.930058555627847,30310,10,28297
GLP-1R,0.23767957683760663,6726,8,0.8,4.5063931013975616,30310,10,28297
GLP-1R,0.2600113905930703,7358,9,0.9,4.119325903778201,30310,10,28297
