system,method,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,bedroc_mean,bedroc_std,ef_1pct_mean,ef_1pct_std,top10_recovery_mean,top10_recovery_std
ghsr,full_cascade,0.75,0.0,0.5161,0.0,0.6049,0.0,31.0,0.0,0.5082,0.0
ghsr,stage3_only,0.75,0.0,0.5161,0.0,0.6049,0.0,31.0,0.0,0.5082,0.0
ghsr,standard_3d_pharmacophore,0.9648,0.0038,0.6939,0.0357,0.7761,0.01,26.35,4.2448,0.7,0.0
glp1r,full_cascade,0.7354,0.0079,0.3661,0.0655,0.4771,0.0196,24.335,6.4748,0.4011,0.0011
glp1r,stage3_only,0.6885,0.0102,0.2703,0.0067,0.3344,0.0111,15.5,0.0,0.24,0.0548
glp1r,standard_3d_pharmacophore,0.7055,0.0102,0.2547,0.0121,0.3111,0.0108,15.5,0.0,0.2,0.0
mdm2,full_cascade,1.0,0.0,1.0,0.0,1.0,0.0,31.0,0.0,1.0,0.0
mdm2,stage3_only,0.6728,0.0134,0.0664,0.0068,0.1102,0.023,0.0,0.0,0.04,0.0548
mdm2,standard_3d_pharmacophore,0.6725,0.0136,0.0664,0.0068,0.1102,0.023,0.0,0.0,0.04,0.0548
ntsr1,full_cascade,0.8988,0.0006,0.7816,0.0165,0.8489,0.0047,31.0,0.0,0.8001,0.0003
ntsr1,stage3_only,0.8987,0.0006,0.7922,0.0088,0.8481,0.0048,31.0,0.0,0.8001,0.0003
ntsr1,standard_3d_pharmacophore,0.8725,0.0037,0.6903,0.017,0.7595,0.006,29.45,3.4659,0.64,0.0548
