ligand_id,final_rank,best_active,best_inactive,active_pref,overall_best
ZINCk700000Gfz1H,1,-7.179,-5.707,-1.4720000000000004,-7.179
ZINCk700001bQgxo,2,-7.342,-6.223,-1.1189999999999998,-7.342
ZINCk500000BlHKL,3,-7.069,-5.878,-1.1909999999999998,-7.069
ZINCj600000JWMq0,4,-8.451,-7.065,-1.386,-8.451
ZINCk500000gdMQW,5,-7.049,-6.128,-0.9210000000000004,-7.049
ZINCk600000EmAGZ,6,-8.559,-7.251,-1.307999999999999,-8.559
ZINCk5000003XjkE,7,-7.208,-6.124,-1.0840000000000003,-7.208
ZINCk800000gvPBH,8,-6.834,-6.398,-0.4359999999999999,-6.834
ZINCk600000Ja5bY,9,-8.704,-7.243,-1.4610000000000003,-8.704
ZINCk600000y8tEo,10,-7.422,-6.283,-1.1389999999999991,-7.422
