hotspot_weight,pair_hash_weight,kendall_tau,spearman_r,jaccard_top10,jaccard_top50,jaccard_top100,jaccard_top500,sweep_type,shortlist_fraction,n_shortlisted,jaccard_vs_baseline_top10,jaccard_vs_baseline_top50,jaccard_vs_baseline_top100,jaccard_vs_baseline_top500
0.6,0.4,0.7166337180123766,0.8812351722267572,0.5384615384615384,0.4925373134328358,0.42857142857142855,0.4880952380952381,cascade_weights,,,,,,
0.5,0.5,0.8352339969705789,0.9583161360903523,0.6666666666666666,0.6666666666666666,0.639344262295082,0.6778523489932886,cascade_weights,,,,,,
0.4,0.6,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,cascade_weights,,,,,,
0.2,0.8,0.6853734305171328,0.8569656668139857,0.25,0.4492753623188406,0.47058823529411764,0.5037593984962406,cascade_weights,,,,,,
1.0,0.0,0.38834661595251946,0.5521383146794476,0.17647058823529413,0.3333333333333333,0.22699386503067484,0.16686114352392065,cascade_weights,,,,,,
0.0,1.0,0.4893125870768211,0.6535112176047729,0.1111111111111111,0.21951219512195122,0.21951219512195122,0.30378096479791394,cascade_weights,,,,,,
,,,,,,,,shortlist_fraction,0.01,477.0,0.0,0.0,0.0,0.007216494845360825
,,,,,,,,shortlist_fraction,0.025,1192.0,0.0,0.0,0.0,0.007049345417925478
,,,,,,,,shortlist_fraction,0.05,2384.0,0.0,0.0,0.0,0.007049345417925478
,,,,,,,,shortlist_fraction,0.1,4769.0,0.0,0.0,0.0,0.007049345417925478
