ligand_id,weighted_coverage_pct,native_weighted_coverage_pct,screen_rank,native_rank,rank_shift,abs_rank_shift
CHEMBL1161835,13.807175799851796,92.57496349030072,39,1,38,38
CHEMBL130229,14.536404870714236,92.57496349030072,19,2,17,17
CHEMBL4637284,13.660525702834134,82.41290018208466,46,3,43,43
CHEMBL4645148,15.32565427444668,82.41290018208466,9,4,5,5
CHEMBL4164040,17.7281588075601,81.78114323729052,1,5,-4,4
CHEMBL481620,14.152345979212969,81.78114323729052,30,6,24,24
CHEMBL4171914,12.212905955808536,79.84285059250405,131,7,124,124
CHEMBL1161827,14.266792263379424,79.33089316904189,26,8,18,18
CHEMBL1923504,11.886949602460582,79.33089316904189,150,9,141,141
CHEMBL2364338,11.7203043260479,79.33089316904189,165,10,155,155
CHEMBL251572,12.322308661604794,79.33089316904189,118,11,107,107
CHEMBL259166,17.26995556586387,79.33089316904189,2,12,-10,10
CHEMBL270666,14.897005357729482,79.33089316904189,13,13,0,0
CHEMBL271876,16.85592017402819,79.33089316904189,4,14,-10,10
CHEMBL3218890,13.855442188732123,79.33089316904189,37,15,22,22
CHEMBL382844,15.118571949592004,79.33089316904189,11,16,-5,5
CHEMBL401134,11.865309682585538,79.33089316904189,154,17,137,137
CHEMBL403180,14.771127732214737,79.33089316904189,16,18,-2,2
CHEMBL404336,14.809851999502106,79.33089316904189,14,19,-5,5
CHEMBL410135,14.777885875621738,79.33089316904189,15,20,-5,5
CHEMBL4637980,14.090826385458207,79.33089316904189,33,21,12,12
CHEMBL1079185,11.878065464182088,77.43811374063404,151,22,129,129
CHEMBL2364354,13.511786176915564,77.43811374063404,54,23,31,31
CHEMBL4164328,17.14495338292296,77.43811374063404,3,24,-21,21
CHEMBL4170481,11.284198345360716,77.43811374063404,193,25,168,168
ZINCf5000000a5ui,9.787659377014032,77.43811374063404,246,26,220,220
ZINCj7000002nkJO,10.351392908642689,77.43811374063404,234,27,207,207
ZINCj8000002qJfL,10.741848018797896,77.43811374063404,217,28,189,189
ZINCj8000002rSdf,12.174872714765463,77.43811374063404,133,29,104,104
ZINCj8000002rSte,11.916013954940738,77.43811374063404,149,30,119,119
ZINCj800000JT0bw,11.584411266148994,77.43811374063404,174,31,143,143
ZINCj800000xceQv,12.953104519589695,77.43811374063404,84,32,52,52
ZINCk50000040Was,13.542495347274071,77.43811374063404,53,33,20,20
ZINCk50000047sNG,12.486374473472532,77.43811374063404,107,34,73,73
ZINCk6000004cY3o,11.427723833512175,77.43811374063404,187,35,152,152
ZINCk600000JU4gH,14.048834583070812,77.43811374063404,34,36,-2,2
ZINCk600000Pz833,11.33487942713173,77.43811374063404,191,37,154,154
ZINCk600000gpUvV,13.7523540371828,77.43811374063404,43,38,5,5
ZINCk600000gqEx4,11.47370523183594,77.43811374063404,183,39,144,144
ZINCk600001bNqgQ,11.753128272790882,77.43811374063404,162,40,122,122
ZINCk7000004eT0Z,11.869228535477411,77.43811374063404,153,41,112,112
ZINCk700000Bn8u5,15.353429469228772,77.43811374063404,8,42,-34,34
ZINCk700000Em93S,12.61696781618963,77.43811374063404,99,43,56,56
ZINCk700000FCpX8,10.9199165543921,77.43811374063404,212,44,168,168
ZINCk700000JUf7G,14.488073195957066,77.43811374063404,20,45,-25,25
ZINCk700000drsQ4,10.08831148892622,77.43811374063404,242,46,196,196
ZINCk700000vOWnu,13.640666902198364,77.43811374063404,49,47,2,2
ZINCk700000wTyDp,13.055114597152324,77.43811374063404,80,48,32,32
ZINCk700000y8NCO,14.120267456398013,77.43811374063404,32,49,-17,17
ZINCk7000018TAx0,13.038431937024116,77.43811374063404,82,50,32,32
ZINCk8000004hZ4R,14.179429414212011,77.43811374063404,28,51,-23,23
ZINCk8000009LywA,13.21217957616359,77.43811374063404,72,52,20,20
ZINCk800000BmzIB,14.323484856145718,77.43811374063404,24,53,-29,29
ZINCk800000GfIqo,11.751823021500067,77.43811374063404,163,54,109,109
ZINCk800000JSZKR,13.67617679770837,77.43811374063404,44,55,-11,11
ZINCk800000PA5TH,12.1083664908862,77.43811374063404,138,56,82,82
ZINCk800000PtDR3,13.471816645283496,77.43811374063404,58,57,1,1
ZINCk800000Py67v,14.582906377856402,77.43811374063404,18,58,-40,40
ZINCk800000Pyl8e,11.560859361887276,77.43811374063404,176,59,117,117
ZINCk800000Pyl8f,12.630321386795355,77.43811374063404,98,60,38,38
ZINCk800000ds8Aw,14.312582270007988,77.43811374063404,25,61,-36,36
ZINCk800000y7OLt,12.48960260159951,77.43811374063404,106,62,44,44
ZINCk8000018TA71,14.987753318412484,77.43811374063404,12,63,-51,51
ZINCk8000018Tng8,12.102165841405006,77.43811374063404,139,64,75,75
CHEMBL2364381,13.598069002958702,70.0168090390329,52,65,-13,13
CHEMBL2364382,13.821059507685408,70.0168090390329,38,66,-28,28
CHEMBL2364408,13.756950882319323,70.0168090390329,42,67,-25,25
CHEMBL251169,12.23234938214967,70.0168090390329,129,68,61,61
CHEMBL251573,13.334121914761615,70.0168090390329,69,69,0,0
ZINCk500000dq4PX,12.37651705853601,68.12402961062504,114,70,44,44
ZINCk700000JTKDZ,13.369257050652353,68.12402961062504,62,71,-9,9
ZINCk7000018StsX,12.164197439391348,68.12402961062504,134,72,62,62
ZINCk800000gu5Mi,15.385655755586384,68.12402961062504,7,73,-66,66
ZINCk800000xcqB6,13.601365079506008,65.55398002104442,51,74,-23,23
ZINCj600000PLgxg,13.046142783075128,65.04202259758227,81,75,6,6
ZINCk600000Emteg,12.240936665657474,65.04202259758227,126,76,50,50
ZINCk600000Pu9Ja,11.758857244924211,65.04202259758227,160,77,83,83
ZINCk600000gpzZR,14.25467635469182,65.04202259758227,27,78,-51,51
ZINCk7000009KZrH,11.989885354803471,65.04202259758227,143,79,64,64
ZINCk700000PzC17,11.280174273955316,65.04202259758227,194,80,114,114
ZINCk8000009M5XH,12.306933757698106,65.04202259758227,122,81,41,41
ZINCk8000009MfQv,12.93959246158325,65.04202259758227,85,82,3,3
ZINCk8000009Mg4L,11.595711082344302,65.04202259758227,173,83,90,90
ZINCk800000PzIYD,13.350696823700105,65.04202259758227,67,84,-17,17
ZINCk800000PzWQF,11.278315932577115,65.04202259758227,195,85,110,110
ZINCf50000026AWG,10.932728404729474,64.70600084283734,211,86,125,125
ZINCj600001bPpQC,11.450835230797816,64.70600084283734,186,87,99,99
ZINCj7000002nZj8,12.81690464124074,64.70600084283734,92,88,4,4
ZINCj700000xcgLi,14.140934039708496,64.70600084283734,31,89,-58,58
ZINCj8000002rHpm,11.096844817478948,64.70600084283734,207,90,117,117
ZINCj8000002rLl9,10.504781448921658,64.70600084283734,228,91,137,137
ZINCj800000FCplr,12.693839826036486,64.70600084283734,97,92,5,5
ZINCj800000Ghtwb,11.87673418242222,64.70600084283734,152,93,59,59
ZINCj800000JaoGi,13.905268808465973,64.70600084283734,36,94,-58,58
ZINCk500000468se,11.534479869293452,64.70600084283734,180,95,85,85
ZINCk6000004dCFt,11.548492040950023,64.70600084283734,178,96,82,82
ZINCk600000vJ41m,9.958588576050705,64.70600084283734,244,97,147,147
ZINCk600000wI9FZ,12.589616092575335,64.70600084283734,102,98,4,4
ZINCk600000xcqtG,12.136044920446956,64.70600084283734,136,99,37,37
ZINCk7000004h24p,12.233803613766815,64.70600084283734,128,100,28,28
ZINCk7000009L1jt,11.98373402779876,64.70600084283734,144,101,43,43
ZINCk7000009L1ju,11.839588410001475,64.70600084283734,155,102,53,53
ZINCk7000009L1mI,10.702396126244103,64.70600084283734,219,103,116,116
ZINCk700000PA5Ru,12.030804160063155,64.70600084283734,142,104,38,38
ZINCk700000drsVz,13.033100592883432,64.70600084283734,83,105,-22,22
ZINCk7000018TgPn,13.925630578098716,64.70600084283734,35,106,-71,71
ZINCk8000004jFzp,12.900639763307012,64.70600084283734,89,107,-18,18
ZINCk800000JSpFH,11.180174180263164,64.70600084283734,201,108,93,93
ZINCk800000JTEfE,14.479693505150692,64.70600084283734,21,109,-88,88
ZINCk800000JTrPk,11.209772719401151,64.70600084283734,199,110,89,89
ZINCk800000PzJpT,13.445615055690798,64.70600084283734,60,111,-51,51
ZINCk800000ciIsJ,11.534874068538493,64.70600084283734,179,112,67,67
ZINCk8000018ToFS,11.63974510881578,64.70600084283734,169,113,56,56
ZINCf500000099NR,8.531607581818244,64.19404341937518,253,114,139,139
ZINCf5000000aohG,7.5168879991793505,64.19404341937518,259,115,144,144
ZINCi800000Bn9ye,11.78368215958529,64.19404341937518,158,116,42,42
ZINCj6000002laIu,10.346704543031583,64.19404341937518,235,117,118,118
ZINCj600000JUVqm,11.630396246161336,64.19404341937518,170,118,52,52
ZINCj7000002nXp3,11.932897780431402,64.19404341937518,147,119,28,28
ZINCj7000002oGfY,11.936158216256908,64.19404341937518,146,120,26,26
ZINCj700000JTEZC,13.648328011186695,64.19404341937518,48,121,-73,73
ZINCj700000d8xgb,12.316170772804208,64.19404341937518,119,122,-3,3
ZINCj700000foZg6,11.626837938592566,64.19404341937518,171,123,48,48
ZINCj700000fpUOo,13.099837743150546,64.19404341937518,76,124,-48,48
ZINCj800000PCxfJ,11.749155781599146,64.19404341937518,164,125,39,39
ZINCj800000wXIrv,12.7794181957103,64.19404341937518,93,126,-33,33
ZINCj8000018Tg4a,14.175866640049088,64.19404341937518,29,127,-98,98
ZINCk5000003ZXd1,11.61911910641746,64.19404341937518,172,128,44,44
ZINCk50000048fa4,10.547917049165616,64.19404341937518,223,129,94,94
ZINCk5000009FSd4,11.562631034942369,64.19404341937518,175,130,45,45
ZINCk500000cLfyB,13.611019825096966,64.19404341937518,50,131,-81,81
ZINCk500000dp3ZE,14.425056244679586,64.19404341937518,22,132,-110,110
ZINCk500000gdi0R,12.900155409982531,64.19404341937518,90,133,-43,43
ZINCk6000004bJA5,13.069998460999503,64.19404341937518,78,134,-56,56
ZINCk600000Emt87,13.08374770007208,64.19404341937518,77,135,-58,58
ZINCk600000JUaNj,13.382843556435656,64.19404341937518,61,136,-75,75
ZINCk600000PBNlG,13.357993121135834,64.19404341937518,65,137,-72,72
ZINCk600000PBfsm,12.382976875920011,64.19404341937518,113,138,-25,25
ZINCk600000PBwsY,11.149227510085014,64.19404341937518,204,139,65,65
ZINCk600000dqY1l,12.606206342827198,64.19404341937518,100,140,-40,40
ZINCk600000gqrRP,12.767841686887037,64.19404341937518,94,141,-47,47
