stage3_screen_rank,zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count,pool_source_stage3_rank,pool_source_hotspot_breadth,pool_source_native_support,pool_primary_source,murcko_scaffold,native_candidate_pool_rank,native_selection_rank,source_input_rank
9,CHEMBL4637284,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)c4cnccn4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,17.857142857142858,17.591736721631662,0.7765308177922241,13.660525702834134,5,499.59700000000026,0.3632200000000005,3,7,8,1,,,,33.23974676957568,11,5,6,5,3,1,,,,,24.122824916488224,19.802462072982312,30.85442861601568,26.402055379760085,9,16,9,1.1533756337397394,1.033342436811529,12.64932840114446,11.470559419222472,28,0,1,1,hotspot_breadth,O=C(NC1CCN(S(=O)(=O)c2cnccn2)C1)c1cc2ccccc2[nH]1,1,1,1
6,CHEMBL270666,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1[C@H](CC#N)COc1ccccc1O,17.857142857142858,19.00310044760335,0.7839249915456966,14.897005357729482,5,479.5410000000002,2.02388,3,10,12,1,,,,34.1174432062358,11,5,6,5,2,1,,,,,26.996639165560616,21.6643648097019,35.81078865387769,28.77684017572941,3,16,9,1.393287304757466,0.8789277458743708,12.64932840114446,11.84599351101555,28,1,0,1,stage3_rank,c1ccc(COCCc2nnnn2CCOc2ccccc2)cc1,2,2,2
1,CHEMBL4164040,Nc1ccncc1C(=O)N[C@H]1c2ccccc2C[C@@H]1NC(=O)c1cc2c(F)cc(F)cc2[nH]1,21.428571428571427,21.93916582688174,0.8080598390772927,17.7281588075601,6,447.4450000000001,3.249100000000001,4,4,4,1,,,,33.69533478231311,11,4,7,4,2,1,,,,,24.45171962062359,18.23570874839218,37.0969754808398,26.76262341104597,6,16,9,1.4534180995120716,0.7325434958693197,12.64932840114446,12.800603640182388,28,1,0,1,stage3_rank,O=C(NC1c2ccccc2CC1NC(=O)c1cc2ccccc2[nH]1)c1cccnc1,3,3,3
7,CHEMBL410135,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCNC(=O)CCc1cccc(O)c1,17.857142857142858,18.953448192927706,0.7796937910820874,14.777885875621738,5,495.5840000000003,1.2390999999999996,4,9,13,1,,,,33.18093759173754,11,4,7,4,2,1,,,,,29.40355947482676,23.41633162881136,39.50424005218526,30.347904004054456,1,16,4,1.458211558241023,0.9161710903025448,8.254082929072135,8.481083617064789,28,1,0,1,stage3_rank,O=C(CCc1ccccc1)NCCn1nnnc1CCOCc1ccccc1,4,4,4
3,CHEMBL271876,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1[C@H](CC#N)COc1ccccn1,21.428571428571427,21.93916582688174,0.76830269241025,16.85592017402819,6,464.5300000000002,1.713279999999999,2,10,12,1,,,,31.70439203423012,10,5,5,5,2,1,,,,,22.287992319142177,16.85783542234807,32.87870809197822,24.64209224791416,12,16,9,1.6906019352631414,0.7892727212574667,12.64932840114446,12.310167614550563,28,1,0,1,stage3_rank,c1ccc(COCCc2nnnn2CCOc2ccccn2)cc1,5,5,5
4,ZINCj600000JU75f,Nc1nonc1C(=NO)Sc1cnc(C(=O)O)cn1,17.857142857142858,18.287822287125632,0.8305834808749761,15.189563092863777,5,282.241,0.0680999999999996,3,10,3,1,,,,30.00988505211415,10,4,6,4,2,1,,,,,24.439238578787,16.273041159501105,49.05740730225428,25.831900197118784,10,16,1,1.0722331606003996,0.8602044043584186,9.390882812600733,8.823614084430456,28,1,0,1,stage3_rank,N=C(Sc1cnccn1)c1cnon1,6,6,6
5,CHEMBL382844,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N1CCC2=NNC(=O)[C@@]2(Cc2ccccc2)C1,21.428571428571427,21.88380660626072,0.6908565873209073,15.118571949592004,6,491.5920000000003,1.3725000000000025,3,6,9,1,,,,30.00988505211415,10,4,6,4,2,1,,,,,23.85654244154737,18.191363363124307,34.646067970756775,25.394878094189067,11,16,8,1.6348293112542474,1.3330752858959016,11.827453064798013,11.325411557972348,28,1,0,1,stage3_rank,O=C(CCOCc1ccccc1)N1CCC2=NNC(=O)C2(Cc2ccccc2)C1,7,7,7
8,CHEMBL130229,CCOC(=O)[C@@H](CCc1ccccc1)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)C(C)(C)N,21.428571428571427,21.88380660626072,0.6642539450406005,14.536404870714236,6,478.5930000000003,2.6132,4,5,11,1,,,,29.626577682298024,10,3,7,3,2,1,,,,,22.31905831146995,16.644400137584338,33.864728856842426,24.145938154176967,14,16,3,1.6426667943667137,1.3292353973964235,11.827453064798013,10.324070864529515,28,1,0,1,stage3_rank,O=C(CCc1c[nH]c2ccccc12)NCCCc1ccccc1,8,8,8
2,CHEMBL259166,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCCC(=O)NCCSCCO,21.428571428571427,21.88380660626072,0.7891659744846733,17.26995556586387,6,493.6340000000004,0.4064000000000001,4,10,16,1,,,,29.07337943761589,10,3,7,3,2,1,,,,,25.96539846135383,21.10013945912662,33.74669312169311,26.742393705419342,7,16,9,1.4578633656813442,0.8050947078769345,11.827453064798013,11.117223050895973,28,1,0,1,stage3_rank,c1ccc(COCCc2nnn[nH]2)cc1,9,9,9
10,ZINCk6000004dm5O,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1NC[C@@H](O)C(N)=O,14.285714285714286,15.362996609921524,0.8407417680717927,12.91631293270638,4,284.228,0.0695199999999998,3,7,6,1,,,,41.894685904351626,11,8,3,8,2,1,,,,,21.394667413395226,14.130914562329538,44.02491597252667,26.519672036134324,8,16,2,0.8222661614892786,0.9305413388378528,6.980676614770233,6.186660379054449,28,0,0,1,native_supported_hotspot_score,c1ccccc1,10,10,10
11,ZINCk50000047sNG,O=C(NCCCc1nc(O)n[nH]1)c1n[nH]cc1[N+](=O)[O-],17.857142857142858,18.287822287125632,0.6827698933985575,12.486374473472532,5,281.2320000000001,-0.4958000000000007,4,7,6,1,,,,41.19084267040562,12,7,5,7,2,1,,,,,24.713792150010725,17.070783349818182,44.74903269319512,28.833054780109453,2,16,13,1.60044266598874,1.4012749620544738,9.390882812600733,8.787498055249598,28,0,0,1,native_supported_hotspot_score,O=C(NCCCc1ncn[nH]1)c1cc[nH]n1,11,11,11
12,CHEMBL4171914,Cn1ccc2c(F)c(C(=O)N[C@H]3Cc4ccccc4[C@@H]3NC(=O)c3cnccc3N)ccc21,17.857142857142858,19.00310044760335,0.6426796505908494,12.212905955808536,5,443.4820000000002,3.120400000000001,3,5,4,1,,,,34.89823407860856,11,5,6,5,2,1,,,,,25.6007099376565,18.97155880303825,39.35094246031745,27.92509097289452,4,16,5,2.153083931522874,1.291525777415888,12.64932840114446,12.468256763973422,28,0,0,1,native_supported_hotspot_score,O=C(NC1Cc2ccccc2C1NC(=O)c1cccnc1)c1ccc2[nH]ccc2c1,12,12,12
13,ZINCk600000cLi01,NOCCNC(=O)Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],14.285714285714286,15.362996609921524,0.7381441628730825,11.340106271852529,4,284.228,0.0520000000000007,2,7,7,1,,,,41.43257879686414,11,8,3,8,3,1,,,,,22.02293784288784,14.566582924327545,45.11795543905635,26.87534808138191,5,16,1,1.5584497480299997,1.0371233819528844,6.980676614770233,7.84499155906789,28,0,1,0,hotspot_breadth,c1ccccc1,13,13,13
14,ZINCk50000048fa4,O=C1C[C@@H](C[C@H](O)Cn2nc([N+](=O)[O-])cc2[N+](=O)[O-])N1,14.285714285714286,15.544432503477918,0.678565592330606,10.547917049165616,4,285.216,-0.6610000000000003,2,8,6,1,,,,41.43257879686414,11,8,3,8,3,1,,,,,18.88507812455024,12.813338190030876,35.8936981385961,24.52195329262872,13,16,11,1.7024445323191957,1.361668431244329,8.023705378439566,7.495719842580305,28,0,1,0,hotspot_breadth,O=C1CC(CCCn2cccn2)N1,14,14,14
