ligand_id,weighted_coverage_pct,native_weighted_coverage_pct,screen_rank,native_rank,rank_shift,abs_rank_shift
CHEMBL130229,14.536404870714236,92.57496349030072,8,1,7,7
CHEMBL4637284,13.660525702834134,82.41290018208466,9,2,7,7
CHEMBL4164040,17.7281588075601,81.78114323729052,1,3,-2,2
CHEMBL4171914,12.212905955808536,79.84285059250405,12,4,8,8
CHEMBL259166,17.26995556586387,79.33089316904189,2,5,-3,3
CHEMBL270666,14.897005357729482,79.33089316904189,6,6,0,0
CHEMBL271876,16.85592017402819,79.33089316904189,3,7,-4,4
CHEMBL382844,15.118571949592004,79.33089316904189,5,8,-3,3
CHEMBL410135,14.777885875621738,79.33089316904189,7,9,-2,2
ZINCk50000047sNG,12.486374473472532,77.43811374063404,11,10,1,1
ZINCk50000048fa4,10.547917049165616,64.19404341937518,14,11,3,3
ZINCk600000cLi01,11.340106271852529,64.19404341937518,13,12,1,1
ZINCj600000JU75f,15.189563092863777,63.14924316917441,4,13,-9,9
ZINCk6000004dm5O,12.91631293270638,51.46193052157849,10,14,-4,4
