system,policy,stage,total,actives,decoys,background
ghsr,percentage,input,31550,50,1500,30000
ghsr,percentage,stage0_pass,30373,41,1500,28832
ghsr,percentage,stage012_pass,267,30,208,29
ghsr,percentage,shortlist,14,9,5,0
ghsr,percentage,stage3_success,14,9,5,0
ghsr,percentage,native_selected,14,9,5,0
ghsr,percentage,native_success,14,9,5,0
ghsr,percentage,final_ranked,14,9,5,0
ghsr,floor1000,input,31550,50,1500,30000
ghsr,floor1000,stage0_pass,30373,41,1500,28832
ghsr,floor1000,stage012_pass,267,30,208,29
ghsr,floor1000,shortlist,267,30,208,29
ghsr,floor1000,stage3_success,267,30,208,29
ghsr,floor1000,native_selected,261,30,202,29
ghsr,floor1000,native_success,261,30,202,29
ghsr,floor1000,final_ranked,261,30,202,29
