ligand_id,weighted_coverage_pct,native_weighted_coverage_pct,screen_rank,native_rank,rank_shift,abs_rank_shift
CHEMBL3315213,17.208838613059456,92.87906469107205,1,1,0,0
CHEMBL3099777,12.53081595959083,82.68542415239115,14,2,12,12
CHEMBL3315193,15.061202274773407,82.68542415239115,7,3,4,4
CHEMBL3315202,16.418377401924303,82.68542415239115,3,4,-1,1
CHEMBL3315203,15.696065536984223,82.68542415239115,6,5,1,1
CHEMBL3315204,15.926627279753909,82.68542415239115,5,6,-1,1
CHEMBL3315209,16.441424029751406,82.68542415239115,2,7,-5,5
CHEMBL462830,13.558837317587557,82.68542415239115,12,8,4,4
CHEMBL463811,15.994255419481494,82.68542415239115,4,9,-5,5
CHEMBL1493442,14.410546997930568,72.25788784674289,8,10,-2,2
CHEMBL1446377,13.815631913975963,68.49771632385236,10,11,-1,1
CHEMBL2431121,13.635079976663867,68.49771632385236,11,12,-1,1
CHEMBL3099769,12.814420981139245,68.49771632385236,13,13,0,0
CHEMBL1490404,11.06950873636857,58.30407578517147,19,14,5,5
CHEMBL2431120,14.024965266782358,58.30407578517147,9,15,-6,6
ZINCk700000FCEau,11.356023770148589,58.30407578517147,17,16,1,1
ZINCk600000cLi01,10.978418516000312,54.31036124887257,20,17,3,3
ZINCj8000018TxlL,12.264867558136086,47.18942593994461,15,18,-3,3
ZINCk7000018Th5o,11.790609466962415,47.18942593994461,16,19,-3,3
ZINCk6000018TfsA,11.258921389506847,42.35030222413134,18,20,-2,2
