ligand_id,weighted_coverage_pct,native_weighted_coverage_pct,screen_rank,native_rank,rank_shift,abs_rank_shift
ZINCk700000Gfz1H,12.787092973793834,29.970825929635016,2800,1,2799,2799
ZINCk700001bQgxo,12.5040567142803,29.970825929635016,3908,2,3906,3906
ZINCk500000BlHKL,12.499960726627886,29.52958188795573,3931,3,3928,3928
ZINCj600000JWMq0,13.850884640321777,29.1482791407928,631,4,627,627
ZINCj700000Emmu8,12.73588844294915,29.1482791407928,2983,5,2978,2978
ZINCj700000JVICU,12.079952176166495,29.1482791407928,4955,6,4949,4949
ZINCk5000003XjkE,12.624848345299126,29.1482791407928,3402,7,3395,3395
ZINCk500000448Ne,13.054416254545616,29.1482791407928,1975,8,1967,1967
ZINCk50000045enc,14.110969836753489,29.1482791407928,418,9,409,409
ZINCk5000009FEHo,13.790450174197488,29.1482791407928,704,10,694,694
ZINCk5000009Gkrk,13.019283535020769,29.1482791407928,2091,11,2080,2080
ZINCk500000gdMQW,12.702961058389594,29.1482791407928,3118,12,3106,3106
ZINCk600000EmAGZ,14.981188591652742,29.1482791407928,58,13,45,45
ZINCk600000Ja5bY,12.42223343775212,29.1482791407928,4312,14,4298,4298
ZINCk600000y8tEo,12.614313520322726,29.1482791407928,3447,15,3432,3432
ZINCk6000018TA29,13.091402127109028,29.1482791407928,1867,16,1851,1851
ZINCk7000004fIr3,13.04203287130461,29.1482791407928,2019,17,2002,2002
ZINCk800000gvPBH,12.646910387326336,29.1482791407928,3307,18,3289,3289
ZINCk800000JUyax,12.944414696285524,29.085720309494693,2328,19,2309,2309
ZINCk700000JU4AJ,12.303904636516643,28.38605183437514,4749,20,4729,4729
ZINCj500000d6Zss,13.105951897052616,28.300512876404916,1820,21,1799,1799
ZINCk50000047vBx,13.288848359017557,28.300512876404916,1439,22,1417,1417
ZINCk6000004bZz4,12.963995796766326,28.300512876404916,2267,23,2244,2244
ZINCk8000018TF12,13.345114602966945,28.300512876404916,1331,24,1307,1307
ZINCk50000042V1P,12.823401536093836,27.84024032501528,2702,25,2677,2677
ZINCk700000PBZyr,12.27614504880467,27.81169756044976,4771,26,4745,4745
ZINCj500000c9Zrw,13.39284424951808,27.417545357981652,1236,27,1209,1209
ZINCk50000047Tg1,12.391542324075877,27.417545357981652,4442,28,4414,4414
ZINCk50000048aEZ,13.238196718709991,27.417545357981652,1544,29,1515,1515
ZINCk5000009AEOo,12.936141064891403,27.417545357981652,2358,30,2328,2328
ZINCk5000009C4f6,14.524601601057071,27.417545357981652,199,31,168,168
ZINCk500000dpUoE,13.691000321351003,27.417545357981652,826,32,794,794
ZINCk6000009JKNr,12.829822281823352,27.417545357981652,2671,33,2638,2638
ZINCk7000004gU4E,12.287821404761228,27.417545357981652,4761,34,4727,4727
ZINCk800000AJdPu,12.691792673990584,27.417545357981652,3156,35,3121,3121
ZINCk800000EmApX,15.086027595948964,27.417545357981652,49,36,13,13
ZINCk800000EmDOt,13.758683982017684,27.417545357981652,745,37,708,708
