stage3_screen_rank,zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count
1,ZINCk700000BmVa0,NCCCC(=O)NNC(=O)c1c[nH]nc1-c1ccoc1,17.857142857142858,19.267729830797304,0.8781619102849424,16.92018643506713,5,277.28400000000005,0.1696000000000004,4,5,5,1,,,,38.92405593253,12,7,5,7,3,1,,,,,23.28907852170079,15.428245923631584,47.48116896877228,29.54306948603248,1513,16,13,0.8834462444428475,0.6866608483945058,11.611623357653302,11.025099988756898,28
2,ZINCk7000018Tshr,NCCCCNCCC(=O)NCc1nc(C(=O)O)cs1,21.428571428571427,24.32501615560028,0.6888071288923054,16.75524453839797,6,300.384,0.1761000000000008,4,6,10,1,,,,37.49136825579339,13,8,5,8,4,1,,,,,25.50881357054869,17.55060355314655,46.67188355227145,30.301835444646567,834,16,13,1.588612797021571,1.1116634997951862,15.443445405737666,13.605932418578382,28
3,ZINCk800000JTqg0,CNC1(C(=O)Nc2cccc(NC(=O)CO)c2)CSC1,17.857142857142858,19.267729830797304,0.860251135640793,16.575086468163367,5,295.36400000000003,0.2608999999999993,4,5,5,1,,,,32.983637231917015,11,7,4,7,4,1,,,,,18.887498322593395,11.840397482235554,46.65588305775224,24.52595388632284,34621,16,6,0.8625031314072771,0.8138055389878274,11.611623357653302,11.001231022290648,28
4,ZINCk800000xc9ya,CC[C@H](CS)NC(=O)c1cnn2cc(C(N)=O)cnc12,17.857142857142858,19.267729830797304,0.8444981771754009,16.27156272041642,5,293.35200000000003,0.2663999999999998,3,6,5,1,,,,34.168309532736544,12,7,5,7,3,1,,,,,17.294180783317582,11.047132054246,39.80162133464019,24.04383228308517,43664,16,13,1.2616911237914972,0.6389618356603203,11.611623357653302,11.902483191375453,28
5,ZINCk50000046DYp,NC[C@H]1C[C@@H]1CNC(=O)c1cccc(OCC(N)=O)c1,17.857142857142858,19.267729830797304,0.8434941057404904,16.252216543277743,5,277.324,-0.1247000000000003,3,4,7,1,,,,32.391143412755326,11,6,5,6,4,1,,,,,21.02532469993832,13.32287233572494,49.83928571428572,25.57165218506513,20071,16,0,0.9899355109280872,0.8725413510008957,11.611623357653302,11.591216689634116,28
6,ZINCk7000004g5zx,C[C@H](ON)C(=O)NCc1ccc(N2CCNC2=O)cc1,17.857142857142858,19.267729830797304,0.8387631082219354,16.161060961260052,5,278.31199999999995,0.1112000000000004,3,4,5,1,,,,32.391143412755326,11,6,5,6,4,1,,,,,22.383717241101987,14.27874544259719,51.76921263554927,26.38668770976332,12612,16,10,1.198579210177266,0.745230316282436,11.611623357653302,11.594538212442934,28
7,ZINCj7000002oOqO,NOCCCC(=O)Nc1cccc(OCC(N)=O)c1,17.857142857142858,19.267729830797304,0.8386346457222268,16.158585780522277,5,267.285,0.1596999999999996,3,5,8,1,,,,34.38695355472221,11,6,5,6,3,1,,,,,22.283637036029333,14.414849880497712,49.06999767062658,27.124963643506483,8092,16,14,1.019849930204954,0.8778167988562394,11.611623357653302,11.41979483876644,28
8,ZINCk500000ggtEH,C[C@H](CN)CC(=O)Nc1cnn([C@H]2CNCCOC2)c1,17.857142857142858,19.267729830797304,0.8371257855834384,16.129513471015645,5,281.36,-0.0325999999999997,3,6,5,1,,,,32.391143412755326,11,6,5,6,4,1,,,,,18.14561683409396,11.392183570118478,44.56333803810868,23.84382746555851,47940,16,1,1.0023824158111447,0.8601089774551032,11.611623357653302,12.24771121539799,28
9,ZINCk50000046fhj,NC(=O)Cc1ccc(OCC(=O)NCC#CCO)cc1,17.857142857142858,21.69777254546384,0.7404208132942315,16.065482394785583,5,276.2919999999999,-0.7948999999999995,3,4,6,1,,,,32.391143412755326,11,6,5,6,4,1,,,,,24.716342351606976,15.701818655598329,58.0341569767442,27.78626277606632,5286,16,8,1.3724802875535342,1.0692877796196414,15.443445405737666,14.11370097313272,28
10,ZINCj600000PK0w1,CO[C@@H](CO)CNc1nccc(=N[C@H](C)CCO)[nH]1,17.857142857142858,19.267729830797304,0.8318479122805381,16.027820834134182,5,270.333,-0.4994999999999995,4,6,8,1,,,,32.391143412755326,11,6,5,6,4,1,,,,,19.79136592828557,12.425554878848384,48.60299488677866,24.831276922073474,29673,16,6,1.304941845708348,0.7004676519406109,11.611623357653302,11.689038163031457,28
