ligand_id,weighted_coverage_pct,native_weighted_coverage_pct,screen_rank,native_rank,rank_shift,abs_rank_shift
ZINCk700001bQgxo,12.5040567142803,29.970825929635016,3651,1,3650,3650
ZINCk500000BlHKL,12.499960726627886,29.52958188795573,3671,2,3669,3669
ZINCj600000JWMq0,13.850884640321777,29.1482791407928,576,3,573,573
ZINCj600000wL7Dt,12.326218293934806,29.1482791407928,4486,4,4482,4482
ZINCj700000Emmu8,12.73588844294915,29.1482791407928,2776,5,2771,2771
ZINCj700000JVICU,12.079952176166495,29.1482791407928,4895,6,4889,4889
ZINCk5000003XjkE,12.624848345299126,29.1482791407928,3175,7,3168,3168
ZINCk500000448Ne,13.054416254545616,29.1482791407928,1821,8,1813,1813
ZINCk50000045enc,14.110969836753489,29.1482791407928,383,9,374,374
ZINCk5000009FEHo,13.790450174197488,29.1482791407928,644,10,634,634
ZINCk5000009Gkrk,13.019283535020769,29.1482791407928,1931,11,1920,1920
ZINCk500000gdMQW,12.702961058389594,29.1482791407928,2906,12,2894,2894
ZINCk6000004c4yV,12.32343756042289,29.1482791407928,4504,13,4491,4491
ZINCk600000BmX8e,12.85366655338467,29.1482791407928,2418,14,2404,2404
ZINCk600000EmAGZ,14.981188591652742,29.1482791407928,55,15,40,40
ZINCk600000Ja5bY,12.42223343775212,29.1482791407928,4037,16,4021,4021
ZINCk600000y8tEo,12.614313520322726,29.1482791407928,3218,17,3201,3201
ZINCk6000018TA29,13.091402127109028,29.1482791407928,1716,18,1698,1698
ZINCk7000004fIr3,13.04203287130461,29.1482791407928,1863,19,1844,1844
ZINCk800000gvPBH,12.646910387326336,29.1482791407928,3086,20,3066,3066
ZINCk800000JUyax,12.944414696285524,29.085720309494693,2152,21,2131,2131
ZINCk700000JU4AJ,12.303904636516643,28.38605183437514,4607,22,4585,4585
ZINCj500000d6Zss,13.105951897052616,28.300512876404916,1670,23,1647,1647
ZINCk50000047vBx,13.288848359017557,28.300512876404916,1318,24,1294,1294
ZINCk500000gb0VC,12.26546819490235,28.300512876404916,4720,25,4695,4695
ZINCk6000004bZz4,12.963995796766326,28.300512876404916,2096,26,2070,2070
ZINCk700000drhhZ,12.5837339481855,28.300512876404916,3332,27,3305,3305
ZINCk8000018TF12,13.345114602966945,28.300512876404916,1217,28,1189,1189
ZINCk50000042V1P,12.823401536093836,27.84024032501528,2509,29,2480,2480
ZINCk700000PBZyr,12.27614504880467,27.81169756044976,4701,30,4671,4671
ZINCj500000c9Zrw,13.39284424951808,27.417545357981652,1132,31,1101,1101
ZINCk50000047Tg1,12.391542324075877,27.417545357981652,4155,32,4123,4123
ZINCk50000048aEZ,13.238196718709991,27.417545357981652,1413,33,1380,1380
ZINCk5000009AEOo,12.936141064891403,27.417545357981652,2179,34,2145,2145
ZINCk5000009C4f6,14.524601601057071,27.417545357981652,179,35,144,144
ZINCk7000004gU4E,12.287821404761228,27.417545357981652,4681,36,4645,4645
ZINCk800000AJdPu,12.691792673990584,27.417545357981652,2942,37,2905,2905
ZINCk800000EmApX,15.086027595948964,27.417545357981652,46,38,8,8
ZINCk800000EmDOt,13.758683982017684,27.417545357981652,680,39,641,641
ZINCk800000PBihx,12.732405521301043,27.417545357981652,2798,40,2758,2758
ZINCj600000y8Psc,12.826481971193203,27.40073237428453,2496,41,2455,2455
ZINCk500000dpZgI,12.719654180808774,27.40073237428453,2851,42,2809,2809
ZINCk5000009Grm7,13.365034141732195,27.34092508335768,1182,43,1139,1139
ZINCk600000Ja5pK,13.62033178740888,27.33934979671655,827,44,783,783
ZINCk800000kFBK0,13.647546723592562,27.33934979671655,797,45,752,752
ZINCj800000BnkQM,12.704230062516888,27.234636414016297,2903,46,2857,2857
ZINCk500000dpkgz,12.384016878367104,27.234636414016297,4182,47,4135,4135
ZINCk600000JSk61,12.312349475813308,27.234636414016297,4564,48,4516,4516
ZINCk600000JUkqo,13.03321797764572,27.234636414016297,1894,49,1845,1845
ZINCk700000drxW5,13.244718114974198,27.234636414016297,1398,50,1348,1348
ZINCk700000grM7p,12.992475229518844,27.234636414016297,2007,51,1956,1956
ZINCk8000004hIpc,12.406574076289216,27.234636414016297,4090,52,4038,4038
ZINCk800000Pu2Q9,12.088798590701598,27.234636414016297,4887,53,4834,4834
ZINCh500000EmAkx,14.272349460264069,27.1614555648564,289,54,235,235
ZINCh500000epLkI,12.059557802560022,27.1614555648564,4917,55,4862,4862
ZINCh6000018XO5S,12.915425164903574,27.1614555648564,2240,56,2184,2184
ZINCh6000018Y0YW,13.257035959771136,27.1614555648564,1373,57,1316,1316
ZINCi5000000VR3Q,12.998680864355205,27.1614555648564,1990,58,1932,1932
ZINCi5000000W3eQ,12.298351588284662,27.1614555648564,4630,59,4571,4571
ZINCi5000000X7zW,12.858579188467283,27.1614555648564,2395,60,2335,2335
ZINCi5000000Xmd3,13.049472857310215,27.1614555648564,1839,61,1778,1778
ZINCi50000096HRa,12.792987561013376,27.1614555648564,2585,62,2523,2523
ZINCi50000096NiL,12.362465477350096,27.1614555648564,4294,63,4231,4231
