ligand_id,microstate_id,reason
ZINCk500000g7Sjx,ZINCk500000g7Sjx_m01_t01,conformer_generation_failed
ZINCk500000g7Sjx,ZINCk500000g7Sjx_m01_t02,conformer_generation_failed
ZINCk500000g7Sjx,ZINCk500000g7Sjx_m01_t03,conformer_generation_failed
ZINCk500000g7Sjx,ZINCk500000g7Sjx_m01_t04,conformer_generation_failed
ZINCk500000g7Sjx,ZINCk500000g7Sjx_m01_t05,conformer_generation_failed
ZINCk500000g7Sjx,ZINCk500000g7Sjx_m01_t06,conformer_generation_failed
ZINCk500000g7Sjx,ZINCk500000g7Sjx_m01_t07,conformer_generation_failed
ZINCk500000g7Sjx,ZINCk500000g7Sjx_m01_t08,conformer_generation_failed
ZINCj7000009jSNb,ZINCj7000009jSNb_m01_t01,conformer_generation_failed
ZINCj7000009jSNb,ZINCj7000009jSNb_m01_t03,conformer_generation_failed
ZINCj7000009jSNb,ZINCj7000009jSNb_m01_t05,conformer_generation_failed
ZINCj7000009jSNb,ZINCj7000009jSNb_m01_t07,conformer_generation_failed
ZINCk700000JUb6k,ZINCk700000JUb6k_m01_t06,conformer_generation_failed
ZINCk700000JUb6k,ZINCk700000JUb6k_m02_t06,conformer_generation_failed
ZINCj700000JalcH,ZINCj700000JalcH_m01_t01,conformer_generation_failed
ZINCj700000JalcH,ZINCj700000JalcH_m01_t02,conformer_generation_failed
ZINCj700000JalcH,ZINCj700000JalcH_m01_t03,conformer_generation_failed
ZINCj700000JalcH,ZINCj700000JalcH_m01_t04,conformer_generation_failed
ZINCj700000JalcH,ZINCj700000JalcH_m01_t05,conformer_generation_failed
ZINCj700000JalcH,ZINCj700000JalcH_m01_t06,conformer_generation_failed
ZINCk700000JUdHs,ZINCk700000JUdHs_m01_t01,embed_failed
ZINCk700000JUdHs,ZINCk700000JUdHs_m01_t06,embed_failed
ZINCj7000018TuKJ,ZINCj7000018TuKJ_m02_t08,conformer_generation_failed
ZINCk5000009G8pw,ZINCk5000009G8pw_m01_t01,conformer_generation_failed
ZINCk5000009G8pw,ZINCk5000009G8pw_m01_t02,conformer_generation_failed
ZINCk5000009G8pw,ZINCk5000009G8pw_m01_t03,conformer_generation_failed
ZINCk5000009G8pw,ZINCk5000009G8pw_m01_t04,conformer_generation_failed
ZINCk5000009G8pw,ZINCk5000009G8pw_m01_t05,conformer_generation_failed
ZINCk5000009G8pw,ZINCk5000009G8pw_m01_t06,conformer_generation_failed
ZINCk5000009G8pw,ZINCk5000009G8pw_m01_t07,conformer_generation_failed
ZINCk5000009G8pw,ZINCk5000009G8pw_m01_t08,conformer_generation_failed
ZINCk5000009G8pw,ZINCk5000009G8pw_m02_t01,conformer_generation_failed
ZINCk5000009G8pw,ZINCk5000009G8pw_m02_t02,conformer_generation_failed
ZINCk5000009G8pw,ZINCk5000009G8pw_m02_t03,conformer_generation_failed
ZINCk5000009G8pw,ZINCk5000009G8pw_m02_t04,conformer_generation_failed
ZINCk5000009G8pw,ZINCk5000009G8pw_m02_t05,conformer_generation_failed
ZINCk5000009G8pw,ZINCk5000009G8pw_m02_t06,conformer_generation_failed
ZINCk5000009G8pw,ZINCk5000009G8pw_m02_t07,conformer_generation_failed
ZINCk5000009G8pw,ZINCk5000009G8pw_m02_t08,conformer_generation_failed
ZINCk50000046njo,ZINCk50000046njo_m01_t01,conformer_generation_failed
ZINCk50000046njo,ZINCk50000046njo_m01_t02,conformer_generation_failed
ZINCk50000046njo,ZINCk50000046njo_m01_t03,conformer_generation_failed
ZINCk50000046njo,ZINCk50000046njo_m01_t04,conformer_generation_failed
ZINCk50000046njo,ZINCk50000046njo_m01_t05,conformer_generation_failed
ZINCk50000046njo,ZINCk50000046njo_m01_t06,conformer_generation_failed
ZINCk50000046njo,ZINCk50000046njo_m02_t01,conformer_generation_failed
ZINCk50000046njo,ZINCk50000046njo_m02_t02,conformer_generation_failed
ZINCk50000046njo,ZINCk50000046njo_m02_t03,conformer_generation_failed
ZINCk50000046njo,ZINCk50000046njo_m02_t04,conformer_generation_failed
ZINCk50000046njo,ZINCk50000046njo_m02_t05,conformer_generation_failed
ZINCk50000046njo,ZINCk50000046njo_m02_t06,conformer_generation_failed
ZINCk8000018Sq84,ZINCk8000018Sq84_m01_t01,conformer_generation_failed
ZINCk8000018Sq84,ZINCk8000018Sq84_m01_t02,conformer_generation_failed
ZINCk8000018Sq84,ZINCk8000018Sq84_m01_t04,conformer_generation_failed
ZINCk8000018Sq84,ZINCk8000018Sq84_m01_t05,conformer_generation_failed
ZINCk8000018Sq84,ZINCk8000018Sq84_m01_t06,conformer_generation_failed
ZINCk8000018Sq84,ZINCk8000018Sq84_m01_t07,conformer_generation_failed
ZINCk8000018Sq84,ZINCk8000018Sq84_m01_t08,conformer_generation_failed
ZINCk700000JUdGc,ZINCk700000JUdGc_m01_t01,embed_failed
ZINCk700000JUdGc,ZINCk700000JUdGc_m01_t02,conformer_generation_failed
ZINCi600000JSckF,ZINCi600000JSckF_m01_t05,conformer_generation_failed
ZINCj5000002gV2v,ZINCj5000002gV2v_m01_t04,conformer_generation_failed
ZINCj5000002gV2v,ZINCj5000002gV2v_m01_t07,conformer_generation_failed
ZINCj5000002gV2v,ZINCj5000002gV2v_m02_t07,conformer_generation_failed
